,plant_name,capacity_mw,start,plant_name_x,net_generation_gwh,usage,2021_cost_per_unit,2022_cost_per_unit,2022_units,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_IMPORT,fuel_SOLAR,fuel_WIND
73,HF 113 MW Power Limited,113.0,2019.0,HF 113 MW Power Limited,551.0603,0.56,10.8,15.41,577999758,True,False,False,False,False,True,False,False,False,False,False
75,Lobonchora Orion Power Rupsha Ltd. 105 MW,105.0,2018.0,Lobonchora Orion Power Rupsha Ltd. 105 MW,361.1674,0.004,12.7,16.73,540193296,True,False,False,False,False,True,False,False,False,False,False
76,Kodda 150 MW PP,149.0,2018.0,Kodda 150 MW PP,387.4975,0.308,15.1,19.84,480557237,False,False,True,False,False,True,False,False,False,False,False
77,Anlima Chattogram 116 MW,116.0,2021.0,Anlima Chattogram 116 MW,125.1359,0.12,14.3,15.18,755550326,True,False,False,False,False,True,False,False,False,False,False
78,Desh Energy Chandpur  200 MW,200.0,2018.0,Desh Energy Chandpur  200 MW,535.4999,0.31,13.57,17.2,752048193,True,False,False,False,False,True,False,False,False,False,False
79,"Payra, Potuakhali 2*660 MW PP (U-1)",622.0,2020.0,"Payra, Potuakhali 2*660 MW PP (U-1)",2049.4159,0.397,8.6,13.85,3998490350,False,True,False,False,False,False,False,False,False,False,False
81,"Payra, Potuakhali 2*660 MW PP (U-2)",622.0,2020.0,"Payra, Potuakhali 2*660 MW PP (U-2)",1762.5061,0.339,8.6,13.85,3998490350,False,True,False,False,False,False,False,False,False,False,False
83,Santahar 50 MW PP,50.0,2012.0,Santahar 50 MW PP,42.8089,0.1,21.57,19.57,68351477,False,False,True,False,False,True,False,False,False,False,False
84,Bera 70 MW Peaking RE,71.0,2011.0,Bera 70 MW Peaking RE,31.2907,0.052,32.75,2259,148245,False,False,True,False,False,True,False,False,False,False,False
85,Fenchuganj C.C. (Unit #1),97.0,1994.0,Fenchuganj C.C. (Unit #1),396.7305,0.662,3.61,3.12,"5 ,062,078",False,False,True,False,True,False,False,False,False,False,False
86,"Sangu, Dohazari-kaliaish 100 MW PPP",102.0,2011.0,"Sangu, Dohazari-kaliaish 100 MW PPP",203.2578,0.234,13.4,19Jl4,"131/392,360",False,False,True,False,False,True,False,False,False,False,False
87,Rauzan 210 MW /ST (1st),210.0,1997.0,Rauzan 210 MW /ST (1st),403.4491,0.297,5.2,423,500551576,False,False,True,False,True,False,False,False,False,False,False
89,Rauzan 210 MW /ST (2nd),210.0,1997.0,Rauzan 210 MW /ST (2nd),0.0,,5.2,423,500551576,False,False,True,False,True,False,False,False,False,False,False
91,Bibiana III 400 MW CCPP,400.0,2019.0,Bibiana III 400 MW CCPP,1839.712,0.549,2.04,133,2139346500,False,False,True,False,True,False,False,False,False,False,False
92,Saidpur 20 MW /GT,20.0,1987.0,Saidpur 20 MW /GT,2.0647,0.013,95.47,182.97,1171640,False,False,True,False,False,False,True,False,False,False,False
93,Sylhet 1x20 MW /GT,20.0,1986.0,Sylhet 1x20 MW /GT,111.0293,0.637,3.78,3.6,65637000,False,False,True,False,True,False,False,False,False,False,False
94,Bheramara GT unit-3,20.0,1980.0,Bheramara GT unit-3,-0.1532,0.0,,,-113167,False,False,True,False,False,False,True,False,False,False,False
95, Ghorasal Repowered CCPP Unit-3,260.0,2021.0, Ghorasal Repowered CCPP Unit-3,47.1487,0.023,3.13,68129,4491600,False,False,True,False,True,False,False,False,False,False,False
96, Ghorasal TPP Unit-5,210.0,1989.0, Ghorasal TPP Unit-5,963.6894,0.62,3.13,68129,4491600,False,False,True,False,True,False,False,False,False,False,False
97,Ghorasal 365 MW CCPP Unit-7,365.0,2018.0,Ghorasal 365 MW CCPP Unit-7,1315.1245,0.434,3.35,68129,4491600,False,False,True,False,True,False,False,False,False,False,False
98,Bibiyana - South  383 MW CCPP,383.0,2021.0,Bibiyana - South  383 MW CCPP,1351.3021,0.406,1.95,JBS,2522746430,False,False,True,False,True,False,False,False,False,False,False
99,Shahjibazar 330 MW CCPP,330.0,2016.0,Shahjibazar 330 MW CCPP,1505.2982,0.546,2.84,4B4,1079194056,False,False,True,False,True,False,False,False,False,False,False
100,"Chapainobabgonj Peaking Power Station 100 MW, Amnura",104.0,2017.0,"Chapainobabgonj Peaking Power Station 100 MW, Amnura",259.43144,0.291,12.5,23.03,251354160,False,False,True,False,False,True,False,False,False,False,False
101,Barapukuria Coal based S/T (unit 3),274.0,2018.0,Barapukuria Coal based S/T (unit 3),1098.3259,0.518,8.82,8.13,1094796315,False,False,True,False,False,False,False,False,False,False,False
103,Gopalganj 100 MW Peaking PP,109.0,2011.0,Gopalganj 100 MW Peaking PP,4.1326,0.007,218.79,51.49,"18,612/322",False,False,True,False,False,True,False,False,False,False,False
104,Bhola 225 MW CCPP,194.0,2015.0,Bhola 225 MW CCPP,315.2895,0.201,6.49,538,633957607,False,False,True,False,True,False,False,False,False,False,False
