,plant,start,fuel_type,own,capacity,end,plant_shorts,plant_phonetic,search_name
59,Bheramara 360 MW CCPP (ST unit),"1 January, 2018",GAS/HSD,NWPGCL,132.0,,bheramara,B656,Bheramara 360 MW CCPP (ST unit) GAS/HSD NWPGCL
60,Sirajganj 225 MW CCPP (2nd  Unit),"05 February, 2018",GAS/HSD,NWPGCL,220.0,,sirajganj nd,S625,Sirajganj 225 MW CCPP (2nd  Unit) GAS/HSD NWPGCL
61,Siddhirganj 335 MW CCPP,"GT: 30 April, 2018",GAS,EGCB,217.0,,siddhirganj,S362,Siddhirganj 335 MW CCPP GAS EGCB
62,Sirajganj 225 MW CCPP (3rd  Unit),"GT: 9 August, 2018",GAS/HSD,NWPGCL,141.0,,sirajganj rd,S625,Sirajganj 225 MW CCPP (3rd  Unit) GAS/HSD NWPGCL
63,Noapara 100 MW PP,"18 April, 2018",HSD,IPP,100.0,,noapara,N160,Noapara 100 MW PP HSD IPP
64,Kusiara 163 MW CCPP,"27 April, 2018",GAS,IPP,54.0,,kusiara,K260,Kusiara 163 MW CCPP GAS IPP
65,DaudKandi 200 MW PP,"27 April, 2018",HSD,IPP,200.0,,daudkandi,D325,DaudKandi 200 MW PP HSD IPP
66,"Kodda, Gazipur 300 MW PP","10 May, 2018",HFO,IPP,300.0,,kodda gazipur,K322,"Kodda, Gazipur 300 MW PP HFO IPP"
67,Noapara 100 MW PP,"18 April, 2018",HSD,IPP,100.0,,noapara,N160,Noapara 100 MW PP HSD IPP
68,Kusiara 163 MW CCPP,"27 April, 2018",GAS,IPP,54.0,,kusiara,K260,Kusiara 163 MW CCPP GAS IPP
69,DaudKandi 200 MW PP,"27 April, 2018",HSD,IPP,200.0,,daudkandi,D325,DaudKandi 200 MW PP HSD IPP
70,"Kodda, Gazipur 300 MW PP","10 May, 2018",HFO,IPP,300.0,,kodda gazipur,K322,"Kodda, Gazipur 300 MW PP HFO IPP"
71,"Bramhongaon, Keraniganj 100 MW PP","30 May, 2018",HSD,IPP,100.0,,bramhongaon keraniganj,B655,"Bramhongaon, Keraniganj 100 MW PP HSD IPP"
72,Mymensingh 200 MW PP,"16 June, 2018",HFO,IPP,200.0,,mymensingh,M552,Mymensingh 200 MW PP HFO IPP
73,"Aowrahati, Keranigonj 100 MW PP","29 June, 2018",HSD,IPP,100.0,,aowrahati keranigonj,A632,"Aowrahati, Keranigonj 100 MW PP HSD IPP"
74,"Pangaon, keraniganj 300 MW PP","10 August, 2018",HSD,IPP,300.0,,pangaon keraniganj,P525,"Pangaon, keraniganj 300 MW PP HSD IPP"
75,Sirajganj 400±10 MW CCPP,"GT: 04 October, 2018",GAS/HSD,IPP,282.0,,sirajganj,S625,Sirajganj 400±10 MW CCPP GAS/HSD IPP
76,Ashuganj 150 MW PP,"27 November, 2018",HFO,IPP,150.0,,ashuganj,A225,Ashuganj 150 MW PP HFO IPP
