Unnamed: 0,plant_name,capacity_mw,start,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND,units,usage,cost_per_unit,year
88,United Payra PP Patuakhali Imp,150,2021.0,True,False,False,False,False,True,False,False,False,False,33.4596,0.03,32.23,2021
89, Ashuganj TPP Unit-3,150,1987.0,False,False,True,False,True,False,False,False,False,False,222.9391,0.209,5.23,2021
90, Ashuganj TPP Unit-4,150,1987.0,False,False,True,False,True,False,False,False,False,False,279.6746,0.261,5.23,2021
91, Ashuganj TPP Unit-5,150,1988.0,False,False,True,False,True,False,False,False,False,False,215.2755,0.202,5.23,2021
92,Manikganj 162MW P0wer Generation,162,2020.0,True,False,False,False,False,True,False,False,False,False,373.1234,0.26,13.55,2021
93,Chandpur 150 MW CCPP,163,2012.0,False,False,True,False,True,False,False,False,False,False,596.5169,0.441,3.55,2021
94,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,163,2017.0,True,False,False,False,True,False,False,False,False,False,1065.5715,0.75,2.99,2021
95,Bhola 225 MW CCPP,194,2015.0,False,False,True,False,True,False,False,False,False,False,315.2895,0.201,6.49,2021
96,Paramount Baghabari BanglaTrack,200,2019.0,True,False,False,False,False,False,True,False,False,False,22.1198,0.01,180.67,2021
97,Daudkandi 200MW(Bangla Trac),200,2018.0,True,False,False,False,False,False,True,False,False,False,40.5404,0.02,105.72,2021
98,Desh Energy Chandpur  200 MW,200,2018.0,True,False,False,False,False,True,False,False,False,False,535.4999,0.31,13.57,2021
99,210 MW Shiddirganj TPP,210,2019.0,False,False,True,False,True,False,False,False,False,False,-1.287,,,2021
100,Siddhirganj 2x120 MW GTPP,210,2019.0,False,False,True,False,True,False,False,False,False,False,563.9633,0.318,4.78,2021
101,Rauzan 210 MW /ST (1st),210,1997.0,False,False,True,False,True,False,False,False,False,False,403.4491,0.297,5.2,2021
102,Rauzan 210 MW /ST (2nd),210,1997.0,False,False,True,False,True,False,False,False,False,False,0.0,,5.2,2021
103, Ghorasal TPP Unit-5,210,1989.0,False,False,True,False,True,False,False,False,False,False,963.6894,0.62,3.13,2021
104,Sirajgonj 210 MW CC (NWPGCL) Unit-1,210,2012.0,False,False,True,False,True,False,False,False,False,False,216.5913,0.122,11.01,2021
105,Rural Power Company Ltd.(RPCL),210,2007.0,True,False,False,False,True,False,False,False,False,False,1150.0912,0.63,3.34,2021
106, Ghorasal Repowered CCPP Unit-4,210,2022.0,False,False,True,False,True,False,False,False,False,False,280.5226,0.197,3.13,2021
107,Sirajgonj 210 MW CC (NWPGCL) Unit-3,220,,False,False,True,False,True,False,False,False,False,False,1447.0055,0.781,3.38,2021
108,Nutan Biddyut 220MW Bhola,220,2021.0,True,False,False,False,True,False,False,False,False,False,266.9117,0.14,1.76,2021
109,Ashuganj 225 MW CCPP,221,1987.0,False,False,True,False,True,False,False,False,False,False,1574.3307,0.828,3.26,2021
110,Shikalbaha 225 MW PS,225,2017.0,False,False,True,False,True,False,False,False,False,False,1014.6721,0.536,2.98,2021
111,Karnafuli Hydro,230,1962.0,False,False,True,False,False,False,False,True,False,False,654.9908,0.326,3.0,2021
112,Sylhet 225 MW CCPP,231,2020.0,False,False,True,False,True,False,False,False,False,False,1075.5239,0.548,2.95,2021
113,"Barapukuria Coal based S/T (unit 1,2)",250,2006.0,False,False,True,False,False,False,False,False,False,False,86.4905,0.078,11.24,2021
114, Ghorasal Repowered CCPP Unit-3,260,2021.0,False,False,True,False,True,False,False,False,False,False,47.1487,0.023,3.13,2021
115,Barapukuria Coal based S/T (unit 3),274,2018.0,False,False,True,False,False,False,False,False,False,False,1098.3259,0.518,8.82,2021
116,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),300,2018.0,True,False,False,False,False,True,False,False,False,False,1280.2528,0.49,10.91,2021
117,United Anwara 300MW PS,300,2019.0,True,False,False,False,False,True,False,False,False,False,1195.9981,0.46,11.36,2021
118,Summit Meghnaghat Power Co.Ltd.,305,2015.0,True,False,False,False,True,False,False,False,False,False,1559.0939,0.58,4.2,2021
119,Shahjibazar 330 MW CCPP,330,2016.0,False,False,True,False,True,False,False,False,False,False,1505.2982,0.546,2.84,2021
120,Siddhirganj 335 MW CCPP,335,2019.0,False,False,True,False,True,False,False,False,False,False,1042.3959,0.373,3.52,2021
121,Haripur Power Ltd.,360,2001.0,True,False,False,False,True,False,False,False,False,False,2315.379,0.73,1.68,2021
122,Ashuganj 450 MW CCPP (North),360,2017.0,False,False,True,False,True,False,False,False,False,False,2088.9237,0.694,2.82,2021
123,Ashuganj 450 MW CCPP (South),360,2017.0,False,False,True,False,True,False,False,False,False,False,1955.573,0.646,3.87,2021
124,Ghorasal 365 MW CCPP Unit-7,365,2018.0,False,False,True,False,True,False,False,False,False,False,1315.1245,0.434,3.35,2021
125,Bibiyana - South  383 MW CCPP,383,2021.0,False,False,True,False,True,False,False,False,False,False,1351.3021,0.406,1.95,2021
126,Bibiana III 400 MW CCPP,400,2019.0,False,False,True,False,True,False,False,False,False,False,1839.712,0.549,2.04,2021
127,Haripur 412 MW CCPP,412,1987.0,False,False,True,False,True,False,False,False,False,False,1817.5804,0.527,3.01,2021
128,Sembcorp NWPGCL,414,2016.0,True,False,False,False,True,False,False,False,False,False,2945.2366,0.81,3.07,2021
129,"Payra, Potuakhali 2*660 MW PP (U-1)",622,2020.0,False,True,False,False,False,False,False,False,False,False,2049.4159,0.397,8.6,2021
130,"Payra, Potuakhali 2*660 MW PP (U-2)",622,2020.0,False,True,False,False,False,False,False,False,False,False,1762.5061,0.339,8.6,2021
131,Shikalbaha 150 MW Peaking PP,150,2010.0,False,False,True,False,True,False,False,False,False,False,641.9223,0.505,3.28,2021
0,Kumargao 10 MW Desh Combridge (15 Yrs),10,2009.0,False,False,False,True,True,False,False,False,False,False,78.96187707936178,86.0,3.62,2022
1,Bogura 20 RPP (3 Yrs) Energy Prima,20,2011.0,False,False,False,True,True,False,False,False,False,False,0.0,0.0,,2022
2,Barabkundu SIPP 22 MW (Regent Power),22,2009.0,False,False,False,True,True,False,False,False,False,False,149.4775200227581,76.0,3.09,2022
3,Tangail SIPP (22 MW) (Doreen Power Ltd.),22,2008.0,False,False,False,True,True,False,False,False,False,False,159.5888653325967,81.0,2.96,2022
4,Feni SIPP (22 MW) (Doreen Power Ltd.),22,2009.0,False,False,False,True,True,False,False,False,False,False,165.6556725184999,84.0,2.9,2022
