,own_x,own_y,plant_name,plant_name_alt,plant,fuel_type_x,fuel_type_y,capacity_mw,capacity,dtall_index
71,Public,APSCL,Ashuganj 450 MW CCPP (North),APSCL (450 MW) North,Ashuganj 450 MW CCPP (South),GAS,GAS,360.0,360.0,74.0
72,IPP,,Kamalaghat Banco Energy Generation,M/S Banco Energy Generation Ltd.,,HFO,,54.0,,
73,IPP,,Summit Bibiyana - II Power Co Ltd. 341 MW,Summit Bibiyana II Power Company Ltd.,,GAS,,341.0,,
74,IPP,,Summit Meghnaghat Power Co.Ltd.,Summit Meghnaghat Power Ltd.,,GAS,,305.0,,
75,IPP,Private,Daudkandi 200MW(Bangla Trac),Bangla Track Power Company Ltd.,Doudkandi 200 MW PP (Bangla Trac),HSD,HSD,200.0,200.0,186.0
76,Public,,Bheramara 360 MW CCPP (NWPGCL),North West Power Gen (NWPGCL)- Bheramara,,GAS,,410.0,,
77,IPP,,ECPV Chattogram Limited 108 MW,ECPV Power Ltd.,,HFO,,108.0,,
78,IPP,,Digital  Power & Associates Gagnagar,Digital Power & Associates Ltd.,,HFO,,102.0,,
79,IMPORT,,Import from Tripura (1st Phase),NVVN Ltd. - India 160 MW (Tripura),,IMPORT,,100.0,,
80,IMPORT,,Import from Tripura (2nd  Phase),NVVN Ltd. - India 160 MW (Tripura),,IMPORT,,60.0,,
81,Public,NWPGCL,Sirajgonj 210 MW CC (NWPGCL) Unit-2,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 2),Sirajganj 225 MW CCPP (2nd  Unit),GAS,GAS/HSD,220.0,220.0,80.0
82,Public,APSCL,Ashuganj 450 MW CCPP (South),APSCL (450 MW) South,Ashuganj 450 MW CCPP (South),GAS,GAS,360.0,360.0,74.0
83,IPP,,Julda 100 MW Unit - 2 (Acorn ),Acron Infrastructure Services Ltd. Unit-2,,HFO,,100.0,,
84,IPP,,Orion Power Sonargaon Ltd.,Orion Power Sonargaon Ltd.,,HFO,,104.0,,
85,IPP,,Juldha Acorn 100 MW Unit-3,Acron Infracture Service Ltd. (Unit-3),,HFO,,100.0,,
86,IPP,,HF 113 MW Power Limited,HF Power Company Limited,,HFO,,113.0,,
87,Public,RPCL,Gazipur 100 MW PP,RPCL - Gazipur (105MW),Gazipur 100 MW PP,HFO,HFO,105.0,105.0,108.0
88,IPP,,Lobonchora Orion Power Rupsha Ltd. 105 MW,Orion Power Rupsha Ltd. - Khulna (105MW),,HFO,,105.0,,
89,IPP,,Sembcorp NWPGCL,Sembcorp NWPC Ltd. - Sirajgonj (282MW),,GAS,,414.0,,
90,Public,IPP,Kodda 150 MW PP,BPDB RPCL PowerGen Ltd.,Kadda 149 MW PP,HFO,HFO,149.0,149.0,96.0
91,IPP,,Baraka Shikalbaha 105MW PS,Baraka Shikalbaha Power Ltd. (105MW),,HFO,,105.0,,
92,IPP,,Confidence Power  Ltd. 113MW Rangpur,Confidence Power Ltd. - Rangpur,,HFO,,113.0,,
93,IPP,,Bogura 113 MW PP (Confidence) Unit-1,Confidence Power Ltd. (Unit-1),,HFO,,113.0,,
94,IPP,,Karnaphuli Power Ltd.,Karnaphuli Power Ltd.,,HFO,,110.0,,
95,IPP,,United Jamalpur PPL,United Jamalpur 200MW,,HFO,,115.0,,
96,IPP,,Confidence CPBL- 2 Bogura,Confidence Power Ltd. (Unit-2) - Bogra,,HFO,,113.0,,
97,Public,,Khulna 225 MW (NWPGCL),North West Power Gen (NWPGCL)- Khulna,,HSD,,230.0,,
98,IPP,IPP,Anlima Chattogram 116 MW,Anlima Energy Limited (116MW),"Potiya, Chattogram 116 MW PP",HFO,HFO,116.0,116.0,140.0
99,IPP,,Desh Energy Chandpur  200 MW,Desh Energy Chandpur Power Company Ltd.,,HFO,,200.0,,
100,IPP,,Ashugonj 150 MW (Midland East),Midland East Power Company Ltd.,,HFO,,150.0,,
101,IPP,,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance,ACE Alliance Power Ltd. (149MW) (Summit Gazipur),,HFO,,149.0,,
102,IMPORT,,Sembcorp Energy India Ltd.,Sembcrop Energy India Ltd. 250MW,,IMPORT,,200.0,,
103,IMPORT,,Power Import (Bheramara-Bharampur Phase-2),NVVN Ltd. - India 300 MW,,IMPORT,,300.0,,
104,IPP,,Manikganj 162MW P0wer Generation,Manikgonj Power Generations Limited (162MW),,HFO,,162.0,,
105,IPP,,United Power Co. Ltd.200 MW Exp,United Mymensingh Power Ltd. (200MW),,GAS,,195.0,,
106,IPP,,United Mymensing Power(UMPL) 200MW Generation,United Mymensingh Power Ltd. (200MW),,HFO,,200.0,,
107,IPP,,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),Summit Gazipur II Power Ltd. - Kodda (300MW),,HFO,,300.0,,
108,IPP,,United Anwara 300MW PS,United - Anawara (300MW),,HFO,,300.0,,
109,Joint venture,BCPCL (NWPGCL),"Payra, Potuakhali 2*660 MW PP (U-1)",Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,"Payra, Potuakhali 1320 Coal Fired Power Plant (1st Unit)",COAL,IMPORTED COAL,622.0,622.0,130.0
110,Joint venture,BCPCL (NWPGCL),"Payra, Potuakhali 2*660 MW PP (U-2)",Bangladsh -China Power Company (Pvt.) Ltd. 1320MW,"Payra, Potuakhali 1320 Coal Fired Power Plant (1st Unit)",,IMPORTED COAL,622.0,622.0,130.0
111,RENTAL & SIPP,,Ghorashal 78 MW QRPP (3 Yrs Max Power),MAX POWER LTD.-GHORASAL,,GAS,,,,
112,RENTAL & SIPP,Private,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),BARKATULLAH ELECTRO DYNAMICS LTD.,Fenchuganj 15 Years RPP (Barakatullah),GAS,GAS,51.0,51.0,214.0
113,Public,,Santahar 50 MW PP,Shantahar 50MW Power Plant,,HFO,,50.0,,
114,Public,BPDB,Bera 70 MW Peaking RE,Bera Peacking Power Plant,Bera 70 MW Peaking PP,HFO,HFO,71.0,71.0,13.0
115,Public,Private,"Shahjibazar 70 MW GT, Habiganj",Shahjibazar Power Station,Shahjibazar 86 MW PP (15 Yrs RPP),GAS,GAS,70.0,86.0,202.0
116,Public,Public,Fenchuganj C.C. (Unit #1),Fenchuganj 2x 90 MW CCPP (1st & 2nd Unit),Fenchuganj 91 MW CCPP (1st Unit),GAS,GAS,97.0,97.0,169.0
117,Public,Public,Fenchuganj C.C. (Unit #2),Fenchuganj 2x 90 MW CCPP (1st & 2nd Unit),Fenchuganj 91 MW CCPP (1st Unit),GAS,GAS,104.0,97.0,169.0
118,Public,,Karnafuli Hydro,Karnafuli Hydro Power Station,,HYDRO,,230.0,,
119,Public,BPDB,"Sangu, Dohazari-kaliaish 100 MW PPP",Dohazari Peacking Power Plant,"Sangu, Dohazari 100 MW Peaking PP",HFO,HFO,102.0,102.0,17.0
120,Public,,Rauzan 210 MW /ST (1st),"Chittagong Power Station, Rawzan",,GAS,,210.0,,
121,Public,,Rauzan 210 MW /ST (2nd),"Chittagong Power Station, Rawzan",,GAS,,210.0,,
122,Public,BPDB,Bibiana III 400 MW CCPP,Bibiyana-3 400MW,Bibiana #3 CCPP,GAS,GAS,400.0,400.0,106.0
123,Public,,Sylhet 225 MW CCPP,Sylhet 225 MW Peaking Power Plant,,GAS,,231.0,,
124,Public,BPDB,Baghabari 50 MW Peaking RE,Baghabari 50 Peaking Power Plant,Baghabari 50 MW Peaking PP,HFO,HFO,52.0,52.0,10.0
125,Public,Public,Saidpur 20 MW /GT,Sayedpur Gas Turbine Power Station,Saidpur 20 MW PP,HSD,HSD,20.0,20.0,178.0
126,Public,Public,Sylhet 1x20 MW /GT,Kumergoan Gt Power Sylhet,Sylhet 20 MW PP,GAS,GAS,20.0,20.0,167.0
127,Public,Public,Bheramara GT unit-3,Bheramara Power Station,Bheramara 20 MW PP GT3,HSD,HSD,20.0,20.0,213.0
128,Public,, Ghorasal Repowered CCPP Unit-3,Ghorashal Power Station 630MW,,GAS,,260.0,,
129,Public,, Ghorasal Repowered CCPP Unit-4,Ghorashal Power Station 630MW,,GAS,,210.0,,
130,Public,Public, Ghorasal TPP Unit-5,Ghorashal Power Station 630MW,Ghorasal 210 MW STunit4,GAS,GAS,210.0,210.0,166.0
131,Public,, Ghorasal TPP Unit-6,Ghorashal Power Station 630MW,,GAS,,0.0,,
132,Public,BPDB,Ghorasal 365 MW CCPP Unit-7,Ghorashal Power Station 365MW,Ghorashal 365 MW CCPP,GAS,GAS,365.0,365.0,79.0
133,Public,BPDB,Bibiyana - South  383 MW CCPP,Bibiyana - South,Bibiana South 383 MW CCPP,GAS,GAS,383.0,383.0,136.0
134,Public,BPDB,Shahjibazar 330 MW CCPP,Shahjibazar 330 CCPP,Shahjibazar CCPP,GAS,GAS,330.0,330.0,67.0
135,Public,,"Chapainobabgonj Peaking Power Station 100 MW, Amnura",Chapainobabgonj Peaking Pp 100 MW Amnura,,HFO,,104.0,,
136,Public,,"Barapukuria Coal based S/T (unit 1,2)",Barapukuria Power Station 1,,COAL,,250.0,,
137,Public,,Barapukuria Coal based S/T (unit 3),Barapukuria Power Station 2,,COAL,,274.0,,
138,Public,BPDB,Gopalganj 100 MW Peaking PP,Gopalgonj Peaking Power Plant,Gopalganj 100 MW Peaking PP,HFO,HFO,109.0,109.0,11.0
139,Public,,"Barapukuria Coal based S/T (unit 1,2)",Barapukuria Power Station 1,,COAL,,250.0,,
140,Public,BPDB,Barapukuria Coal based S/T (unit 3),Barapukuria Power Station 2,Barapukuria 275 MW (3rd Unit),COAL,COAL,274.0,274.0,78.0
141,Public,BPDB,Shikalbaha 225 MW PS,Shikalbaha 225 MW Shamipur (Dual Fuel),Shikalbaha 225 MW CCPP,GAS,GAS/HSD,225.0,225.0,76.0
142,Public,BPDB,Bhola 225 MW CCPP,Bhola 225 MW CCPP,Bhola 225 MW CCPP,GAS,GAS,194.0,194.0,57.0
143,Public,,Katakhali 50 MW PP,Katakhali 50MW Power Plant,,HFO,,50.0,,
144,Public,Public,Tongi 80 MW GTPP,Tongi Power Station,Tongi 105 MW PP,GAS,GAS,105.0,105.0,212.0
145,Public,Public,Rangpur 20 MW /GT,Rangpur Gas Turbine Power Station,Rangpur 20 MW PP,HSD,HSD,20.0,20.0,177.0
146,Public,BPDB,Hathazari 100 MW Peaking PP,Hathazari Peacking Power Plant,"Sangu, Dohazari 100 MW Peaking PP",HFO,HFO,98.0,102.0,17.0
147,Public,BPDB,Shahazibazar 100 MW GT,Shahjibazar 100 P/S,Shajibazar 100 MW PP,GAS,GAS,100.0,100.0,137.0
148,Public,Public,Haripur GTPP,Sbu Haripur (BPDB Book Costs),Haripur 32 MW GT1,GAS,GAS,32.0,32.0,168.0
149,Public,BPDB,Titas 50 MW Peaking PP,Titas 50 MW Peacking Power Plant,Katakhali 50 MW Peaking Power Plant,HFO,HFO,52.0,50.0,35.0
150,IPP,IPP,CLC Power Co. Ltd. 108 MW Bosila Keranigonj,CLC Power Company Ltd.,"Bosila, Keraniganj 108 MW PP",HFO,HFO,108.0,108.0,161.0
151,IPP,,APR Energy 300MW,APR Energy 300MW,,HSD,,300.0,,
152,RENTAL & SIPP,Private,Bogura 20 RPP (3 Yrs) Energy Prima,"ENERGYPRIMA, BOGRA",Bogura 3 Years RPP (Energy Prima),GAS,GAS,20.0,20.0,180.0
153,RENTAL & SIPP,Rental (BPDB),"IEL, Meghnaghat 100 MW",IELCONSOURTIUM & ASSOCIATES,Meghnaghat quick rental PP,HFO,HFO,100.0,100.0,22.0
