,plant_name,2022_usage,capacity_mw,start,net_generation_gwh,usage,2021_cost_per_unit,2022_cost_per_unit,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND,location,district_code,2022_units
35,Confidence Power  Ltd. 113MW Rangpur,63,113,2019,494.4,0.5,11.47,16.03,True,False,False,False,False,True,False,False,False,False,"Boiragigonj, Mithapukur, Rangpur",rangpur,627.260567098089
66,Kamalaghat Banco Energy Generation,80,54,2018,309.349,0.65,11.47,15.83,True,False,False,False,False,True,False,False,False,False,"Kamalaghat Bazar, Mirkadam, Munshiganj",munshiganj,382.653935341819
37,Tangail Polly Power 22 MW TPPGCl,20,22,2020,74.9804,0.39,12.43,15.83,True,False,False,False,False,True,False,False,False,False,"Gharinda, Tangail",tangail,
45,Manikganj 162MW P0wer Generation,73,162,2020,373.1234,0.26,13.55,15.81,True,False,False,False,False,True,False,False,False,False,"Singair, Manikganj",manikganj,1042.00157428512
22,Jodiac Power,68,54,2019,276.7625,0.59,11.15,15.7,True,False,False,False,False,True,False,False,False,False," Kolagaon, Patia, Chattogram",chattogram,324.623605737528
13,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,52,52,2012,146.3081,0.32,12.35,15.58,True,False,False,False,False,True,False,False,False,False,"Natore Sadar, Natore",natore,238.105659782039
54,Baraka Patenga,51,50,2014,198.9216,0.45,11.88,15.55,True,False,False,False,False,True,False,False,False,False,"Patenga, Chittagong",chattogram,224.477324799213
37,Karnaphuli Power Ltd.,72,110,2019,87.2665,0.09,25.6,15.47,True,False,False,False,False,True,False,False,False,False,"patiya, chattogram",chattogram,698.479607976083
73,HF 113 MW Power Limited,58,113,2019,551.0603,0.56,10.8,15.41,True,False,False,False,False,True,False,False,False,False,"Chowmuhani, Noakhali",noakhali,577.143464258019
77,Anlima Chattogram 116 MW,74,116,2021,125.1359,0.12,14.3,15.18,True,False,False,False,False,True,False,False,False,False,"Kolagong, Potiya, Chittagong",chattogram,757.037486031322
72,Juldha Acorn 100 MW Unit-3,67,100,2020,610.5613,0.7,9.93,15.09,True,False,False,False,False,True,False,False,False,False,"Juldha, Patiya, Chattogram",chattogram,590.771799240845
34,50 MW HDFC Solar Power Plant,21,50,2020,64.8588,0.15,14.38,14.7,True,False,False,False,False,False,False,False,True,False,"Sutiakhali, Mymensingh",mymensingh,89.9524698074472
26,Siddhirganj 2x120 MW GTPP,6.6,210,2019,563.9633,0.318,4.78,14.05,False,False,True,False,True,False,False,False,False,False,"Siddhirganj, Narayanganj",narayanganj,118.229066778265
79,"Payra, Potuakhali 2*660 MW PP (U-1)",40.5,622,2020,2049.4159,0.397,8.6,13.85,False,True,False,False,False,False,False,False,False,False,"Payra, Patuakhali",patuakhali,2214.25819466272
81,"Payra, Potuakhali 2*660 MW PP (U-2)",38.3,622,2020,1762.5061,0.339,8.6,13.85,False,True,False,False,False,False,False,False,False,False,"Payra, Patuakhali",patuakhali,2093.74854351781
71,Orion Power Sonargaon Ltd.,70,104,2020,451.8127,0.5,11.28,13.19,True,False,False,False,False,True,False,False,False,False,"Meghnaghat, Narayanganj",narayanganj,642.031923724636
8,Amnura 50MW Sinha Power,5,50,2012,34.312,0.08,6.66,13.15,False,False,False,True,False,True,False,False,False,False,"Amnura, Chapainawabganj",chapainawabganj,18.2058804785054
11,20 MW Solar Teknaf,21,20,2018,33.4382,0.19,11.8,12.04,True,False,False,False,False,False,False,False,True,False,"Teknaf, Cox Bazar",cox,34.5598824578965
16,Manikganj 35MW Spectra Solar Park Ltd.,17,35,2021,29.1477,0.1,10.36,11.96,True,False,False,False,False,False,False,False,True,False,Manikganj,manikganj,49.5950133099174
1,Sympa Solar Power 8 MW,17,8,2019,11.269,0.16,11.04,11.26,True,False,False,False,False,False,False,False,True,False,"Majhipara, Panchagarh",panchagarh,9.23755681238763
9,Sirajgonj 210 MW CC (NWPGCL) Unit-1,12.9,210,2012,216.5913,0.122,11.01,9.56,False,False,True,False,True,False,False,False,False,False,"Soydabad, Sirajganj",sirajgonj,235.107426085818
108,Shahazibazar 100 MW GT,7.3,100,2021,39.4552,0.052,1.89,8.98,False,False,True,False,True,False,False,False,False,False,"Shahjibazar, Sylhet",sylhet,60.6119834605503
3,Shikalbaha 150 MW Peaking PP,50,150,2010,641.9223,0.505,3.28,8.63,False,False,True,False,True,False,False,False,False,False,"Shikalbaha, Chittagong",chattogram,659.616872089573
101,Barapukuria Coal based S/T (unit 3),50.83,274,2018,1098.3259,0.518,8.82,8.13,False,False,True,False,False,False,False,False,False,False," Durgapur, Dinajpur",dinajpur,1224.8190937241
58,"Barapukuria Coal based S/T (unit 1,2)",20.13,250,2006,86.4905,0.078,11.24,8.13,False,False,True,False,False,False,False,False,False,False," Durgapur, Dinajpur",dinajpur,440.036259598863
42, Ashuganj TPP Unit-4,0,150,1987,279.6746,0.261,5.23,7.24,False,False,True,False,True,False,False,False,False,False,"Ashuganj, Brahmanbaria",brahmanbaria,0
39, Ashuganj TPP Unit-3,16,150,1987,222.9391,0.209,5.23,7.24,False,False,True,False,True,False,False,False,False,False,"Ashuganj, Brahmanbaria",brahmanbaria,208.211247561647
48, Ashuganj TPP Unit-5,18.5,150,1988,215.2755,0.202,5.23,7.24,False,False,True,False,True,False,False,False,False,False,"Ashuganj, Brahmanbaria",brahmanbaria,241.402837600465
33,Ashugonj  55 MW 3Yrs Rental (Precision Energy),57,55,2010,208.8067,0.43,5.23,4.55,False,False,False,True,True,False,False,False,False,False,"Ashuganj, Brahmanbaria",brahmanbaria,276.440847217601
26,Summit Meghnaghat Power Co.Ltd.,57,305,2015,1559.0939,0.58,4.2,4.22,True,False,False,False,True,False,False,False,False,False,"Meghnaghat, Sonargaon, Narayanganj",narayanganj,1529.36841821934
29,Siddhirganj 335 MW CCPP,51.1,335,2019,1042.3959,0.373,3.52,4.2,False,False,True,False,True,False,False,False,False,False,"Siddhirganj, Narayanganj",narayanganj,1505.4177185463
18,Bogura RPP (24MW) 15 yrs,87,22,2008,167.4902,0.87,,4.09,False,False,False,True,True,False,False,False,False,False,Bogura,bogura,171.722479704403
5,Regent Energy & Power Ltd 108 MW,38,108,2014,591.4501,0.63,2.92,4.08,True,False,False,False,True,False,False,False,False,False,"Ghorashal, Palash, Narsingdi",narsingdi,359.969351951051
22,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),81,33,2009,258.2576,0.89,3.65,4.06,False,False,False,True,True,False,False,False,False,False,"Comilla Sadar, Comilla",comilla,237.92981029839
18,Sirajgonj 210 MW CC (NWPGCL) Unit-3,66,220,,1447.0055,0.781,3.38,3.89,False,False,True,False,True,False,False,False,False,False,"Soydabad, Sirajganj",sirajgonj,1278.25535556805
64,Ashuganj 450 MW CCPP (South),70,360,2017,1955.573,0.646,3.87,3.76,False,False,True,False,True,False,False,False,False,False,"Ashuganj, Brahmanbaria",brahmanbaria,2217.64329722297
15,Rural Power Company Ltd.(RPCL),61,210,2007,1150.0912,0.63,3.34,3.73,True,False,False,False,True,False,False,False,False,False,,,1127.46442333871
7,Kumargao 10 MW Desh Combridge (15 Yrs),86,10,2009,61.4628,0.7,3.84,3.62,False,False,False,True,True,False,False,False,False,False,"Kumargaon, Sylhet",sylhet,78.9618770793618
93,Sylhet 1x20 MW /GT,37.7,20,1986,111.0293,0.637,3.78,3.6,False,False,True,False,True,False,False,False,False,False,,sylhet,65.3950894158131
17,Bhola 32 MW (Venture Energy Resources Ltd.),66,33,2009,199.538,0.69,3.99,3.55,False,False,False,True,True,False,False,False,False,False,"Kheyaghat, Bhola",bhola,193.088191967801
36,Sahzibazar 86 MW RPP (15 yrs),82,86,2009,605.4847,0.8,3.37,3.54,False,False,False,True,True,False,False,False,False,False,"Madhobpur, Hobigonj",habiganj,623.040179490504
9,Shahjahanullah Power Gen Co. Ltd.,55,25,2013,102.6552,0.47,3.45,3.45,False,False,False,True,True,False,False,False,False,False,"Bondar Bazar, Sylhet",sylhet,121.517452122509
45,Ashuganj 225 MW CCPP,83.1,221,1987,1574.3307,0.828,3.26,3.32,False,False,True,False,True,False,False,False,False,False,"Ashuganj, Brahmanbaria",brahmanbaria,1617.83829344334
33,Sembcorp NWPGCL,78,414,2016,2945.2366,0.81,3.07,3.24,True,False,False,False,True,False,False,False,False,False,"Soydabad, Sirajganj",sirajgonj,2841.90896417822
85,Fenchuganj C.C. (Unit #1),49.4,97,1994,396.7305,0.662,3.61,3.12,False,False,True,False,True,False,False,False,False,False,"Fenchuganj, Sylhet",sylhet,421.44633143487
52,Fenchuganj C.C. (Unit #2),34.3,104,1994,240.2846,0.34,3.61,3.12,False,False,True,False,True,False,False,False,False,False,"Fenchuganj, Sylhet",sylhet,312.446028994809
12,Barabkundu SIPP 22 MW (Regent Power),76,22,2009,157.7652,0.82,2.94,3.09,False,False,False,True,True,False,False,False,False,False,"Barabkunda, Chittagong",chattogram,149.477520022758
