,capacity_mw,net_generation_gwh,usage,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_IMPORT,fuel_SOLAR,fuel_WIND,age,2021_cost_per_unit
84,4.2626798770413155,3.4433209287952087,0.052,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,3.488902962081261
85,4.574710978503383,5.983257208860276,0.662,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.367295829986474,1.2837077723447896
86,4.624972813284271,5.314475124075329,0.234,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,2.5952547069568657
87,5.3471075307174685,6.00005033353233,0.297,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258096538021482,1.6486586255873816
89,5.3471075307174685,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258096538021482,1.6486586255873816
91,5.991464547107982,7.5173643166130955,0.549,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.712949807856125
92,2.995732273553991,0.7249849374086967,0.013,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.58351893845611,4.558812062009942
93,2.995732273553991,4.709794130443941,0.637,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6109179126442243,1.3297240096314962
94,2.995732273553991,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.7612001156935624,0.0
95,5.560681631015528,3.8533064371192998,0.023,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.1410330045520618
96,5.3471075307174685,6.870769043523117,0.62,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5263605246161616,1.1410330045520618
97,5.8998973535824915,7.181686616936383,0.434,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,1.208960345836975
98,5.948034989180646,7.208823925101887,0.406,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6678293725756554
99,5.799092654460526,7.316746297090814,0.546,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,1.0438040521731147
100,4.6443908991413725,5.558492467313517,0.291,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,2.5257286443082556
101,5.6131281063880705,7.00154239041555,0.518,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,2.1770218700187
103,4.6913478822291435,1.4189067488473672,0.007,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,5.388112365664251
104,5.267858159063328,5.753491264378996,0.201,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,1.8702625307159986
105,4.653960350157523,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8903717578961645,0.0
106,2.995732273553991,0.3391116075581432,0.009,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.5553480614894135,5.015025642397549
