,own,plant_name_x,fuel_type,capacity_mw,net_generation_gwh,usage,costs_name,2021_units,2021_amount,2021_cost_per_unit,2022_units,2022_amount,2022_cost_per_unit
58,Public,Sirajgonj 210 MW CC (NWPGCL) Unit-3,Gas,220.0,1447.0055,0.781,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 3),1447005461.0,4890841676.0,3.38,1220422550.0,4748113291.0,3.0
86,IPP,Dhaka(Doreen) Northern Power Ltd.Manikgonj,F.Oil,55.0,231.8441,0.48,Doreen Northern Power Limited,231844112.0,2641124870.0,11.39,297602757.0,4903100529.0,16.0
152,RENTAL & SIPP,Katakhali (Northern) Peaking,F.oil,50.0,21.6708,0.05,NORTHERN POWER,21344414.0,224115126.0,10.5,297602757.0,4903100529.0,16.0
8,Public,Haripur 412 MW CCPP,Gas,412.0,1817.5804,0.527,EGCB Ltd. (412) MW,1803485796.0,5421654625.0,3.01,1981733402.0,4954975092.0,2.0
40,IPP,Nutan Biddyut 220MW Bhola,GAS,220.0,266.9117,0.14,Nutan Bidyut (Bangladesh) Ltd. (220MW),160931128.0,284039503.0,1.76,1653494918.0,4973733765.0,3.0
85,IPP,Summit Narayangonj Power unit-2 Madangonj (55 MW),F.Oil,55.0,259.5017,0.54,Summit Narayangonj Power Unit II Ltd.,259501715.0,2969690929.0,11.44,288604038.0,4990935236.0,17.0
51,IPP,Jodiac Power,F.Oil,54.0,276.7625,0.59,Zodiac Power Ctg. Ltd.,276762524.0,3085394329.0,11.15,320369811.0,5029347420.0,15.0
87,IPP,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,F.Oil,55.0,237.8964,0.49,Doreen Southern Power Limited,237896381.0,2684321524.0,11.28,311143774.0,5040225092.0,16.0
29,Public,Ashuganj 225 MW CCPP,Gas,221.0,1574.3307,0.828,APSCL (225 MW),1574330675.0,5139666301.0,3.26,1579703499.0,5245040830.0,3.0
70,IPP,Meghnaghat Power Ltd.,GAS,450.0,2275.4899,0.58,Meghnaghat Power Ltd.,2276324250.0,6238656026.0,2.74,2140792000.0,5709336569.0,2.0
105,IPP,Feni Lanka Power 114 MW PP,F.Oil,114.0,193.2808,0.19,Lanka Power Limited - Feni,193243406.0,2993516085.0,15.49,329452681.0,5721652913.0,17.0
60,IPP,Paramount Baghabari BanglaTrack,HSD,200.0,22.1198,0.01,Paramount BTrac Energy Ltd. - Sirajgonj,21514556.0,3887016999.0,180.67,104571634.0,5791953269.0,55.0
9,Public,Siddhirganj 335 MW CCPP,Gas,335.0,1042.3959,0.373,EGCB Ltd. (360) MW,1039616357.0,3656399175.0,3.52,1419204804.0,5958406989.0,4.0
31,Public,Ashuganj 450 MW CCPP (North),Gas,360.0,2088.9237,0.694,APSCL (450 MW) North,2088923729.0,5900126978.0,2.82,2017615091.0,5960985814.0,2.0
90,IPP,Kamalaghat Banco Energy Generation,F.Oil,54.0,309.349,0.65,M/S Banco Energy Generation Ltd.,309349044.0,3548402788.0,11.47,376975008.0,5969027473.0,15.0
73,IPP,Summit Bibiyana - II Power Co Ltd. 341 MW,GAS,341.0,2455.8871,0.82,Summit Bibiyana II Power Company Ltd.,2455887148.0,6030061928.0,2.46,2310625924.0,5996723144.0,2.0
76,IPP,Summit Meghnaghat Power Co.Ltd.,GAS,305.0,1559.0939,0.58,Summit Meghnaghat Power Ltd.,1559093909.0,6547648630.0,4.2,1524542505.0,6428574957.0,4.0
116,IPP,Daudkandi 200MW(Bangla Trac),HSD,200.0,40.5404,0.02,Bangla Track Power Company Ltd.,39585792.0,4185097685.0,105.72,159163968.0,6736713233.0,42.0
45,Public,Bheramara 360 MW CCPP (NWPGCL),Gas,410.0,2706.8683,0.789,North West Power Gen (NWPGCL)- Bheramara,2706234738.0,7636097844.0,2.82,1966292933.0,6934357044.0,3.0
41,IPP,ECPV Chattogram Limited 108 MW,F.Oil,108.0,190.2545,0.2,ECPV Power Ltd.,190254480.0,2569220856.0,13.5,407101368.0,7158148504.0,17.0
79,IPP,Digital  Power & Associates Gagnagar,F.Oil,102.0,325.564,0.36,Digital Power & Associates Ltd.,325564002.0,3736039993.0,11.48,440988642.0,7478876342.0,16.0
71,IMPORT,Import from Tripura (1st Phase),Import,100.0,1028.818,,NVVN Ltd. - India 160 MW (Tripura),1028817960.0,7420242117.0,3.13,941241612.0,7484684395.0,7.0
72,IMPORT,Import from Tripura (2nd  Phase),Import,60.0,1023.5395,,NVVN Ltd. - India 160 MW (Tripura),1028817960.0,7420242117.0,3.13,941241612.0,7484684395.0,7.0
57,Public,Sirajgonj 210 MW CC (NWPGCL) Unit-2,Gas,220.0,1135.6566,0.616,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 2),1135656573.0,4351973695.0,3.83,1008745563.0,7522171723.0,7.0
30,Public,Ashuganj 450 MW CCPP (South),Gas,360.0,1955.573,0.646,APSCL (450 MW) South,1955572989.0,7571323434.0,3.87,2135112449.0,8036514579.0,3.0
53,IPP,Julda 100 MW Unit - 2 (Acorn ),F.Oil,100.0,687.7112,0.79,Acron Infrastructure Services Ltd. Unit-2,687711168.0,7359103192.0,10.7,512083584.0,8055322054.0,15.0
110,IPP,Orion Power Sonargaon Ltd.,F.Oil,104.0,451.8127,0.5,Orion Power Sonargaon Ltd.,451901664.0,5095211408.0,11.28,638940480.0,8427320532.0,13.0
47,IPP,Juldha Acorn 100 MW Unit-3,F.Oil,100.0,610.5613,0.7,Acron Infracture Service Ltd. (Unit-3),610561267.0,6065069101.0,9.93,586327094.0,8847932285.0,15.0
107,IPP,HF 113 MW Power Limited,F.Oil,113.0,551.0603,0.56,HF Power Company Limited,551060311.0,5951666116.0,10.8,577999758.0,8906890033.0,15.0
10,Public,Gazipur 100 MW PP,F.Oil,105.0,370.9008,0.41,RPCL - Gazipur (105MW),372311616.0,4561729240.0,12.25,535752588.0,8934646402.0,16.0
46,IPP,Lobonchora Orion Power Rupsha Ltd. 105 MW,F.Oil,105.0,361.1674,0.004,Orion Power Rupsha Ltd. - Khulna (105MW),361167408.0,4586519321.0,12.7,540193296.0,9038681251.0,16.0
39,IPP,Sembcorp NWPGCL,GAS,414.0,2945.2366,0.81,Sembcorp NWPC Ltd. - Sirajgonj (282MW),2945236563.0,9029761730.0,3.07,2817383745.0,9132705810.0,3.0
11,Public,Kodda 150 MW PP,F.Oil,149.0,387.4975,0.308,BPDB RPCL PowerGen Ltd.,387788703.0,5857190239.0,15.1,480557237.0,9535028277.0,19.0
49,IPP,Baraka Shikalbaha 105MW PS,F.Oil,105.0,160.1848,0.17,Baraka Shikalbaha Power Ltd. (105MW),159651421.0,2774600010.0,17.38,610898228.0,9816459440.0,16.0
50,IPP,Confidence Power  Ltd. 113MW Rangpur,F.Oil,113.0,494.4,0.5,Confidence Power Ltd. - Rangpur,494399990.0,5671576724.0,11.47,623970029.0,10001094642.0,16.0
52,IPP,Bogura 113 MW PP (Confidence) Unit-1,F.Oil,113.0,468.1931,0.47,Confidence Power Ltd. (Unit-1),468193056.0,5469183763.0,11.68,613355712.0,10097178928.0,16.0
104,IPP,Karnaphuli Power Ltd.,F.Oil,110.0,87.2665,0.09,Karnaphuli Power Ltd.,85058900.0,2177111311.0,25.6,693947514.0,10738505984.0,15.0
98,IPP,United Jamalpur PPL,F.Oil,115.0,538.4717,0.53,United Jamalpur 200MW,538471740.0,6669811635.0,12.39,627954216.0,10830596553.0,17.0
48,IPP,Confidence CPBL- 2 Bogura,F.Oil,113.0,447.8107,0.45,Confidence Power Ltd. (Unit-2) - Bogra,447810720.0,5606954875.0,12.52,655152288.0,10851170802.0,16.0
43,Public,Khulna 225 MW (NWPGCL),HSD,230.0,279.0524,0.144,North West Power Gen (NWPGCL)- Khulna,279080308.0,7770389923.0,27.84,437277714.0,11138939273.0,25.0
111,IPP,Anlima Chattogram 116 MW,F.Oil,116.0,125.1359,0.12,Anlima Energy Limited (116MW),123670544.0,1768065136.0,14.3,755550326.0,11468258410.0,15.0
95,IPP,Desh Energy Chandpur  200 MW,F.Oil,200.0,535.4999,0.31,Desh Energy Chandpur Power Company Ltd.,535499933.0,7266737367.0,13.57,752048193.0,12934344889.0,17.0
97,IPP,Ashugonj 150 MW (Midland East),F.Oil,150.0,410.3474,0.31,Midland East Power Company Ltd.,410347432.0,5106156835.0,12.44,858896611.0,13304285799.0,15.0
45,IPP,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance,F.Oil,149.0,791.75,0.61,ACE Alliance Power Ltd. (149MW) (Summit Gazipur),791750046.0,8370704611.0,10.57,809133408.0,13339615719.0,16.0
74,IMPORT,Sembcorp Energy India Ltd.,Import,200.0,1781.223,,Sembcrop Energy India Ltd. 250MW,1784173570.0,11905260924.0,,1906341720.0,13839173137.0,
73,IMPORT,Power Import (Bheramara-Bharampur Phase-2),Import,300.0,2539.05,,NVVN Ltd. - India 300 MW,2539050000.0,14200174815.0,,2548677500.0,15199300879.0,
109,IPP,Manikganj 162MW P0wer Generation,F.Oil,162.0,373.1234,0.26,Manikgonj Power Generations Limited (162MW),344555626.0,4667375064.0,13.55,1041083049.0,16458006350.0,15.0
38,IPP,United Power Co. Ltd.200 MW Exp,GAS,195.0,145.6385,0.09,United Mymensingh Power Ltd. (200MW),1019821200.0,11669327634.0,11.44,1052002800.0,17447304343.0,16.0
44,IPP,United Mymensing Power(UMPL) 200MW Generation,F.Oil,200.0,1019.8212,0.58,United Mymensingh Power Ltd. (200MW),1019821200.0,11669327634.0,11.44,1052002800.0,17447304343.0,16.0
43,IPP,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),F.Oil,300.0,1280.2528,0.49,Summit Gazipur II Power Ltd. - Kodda (300MW),1280252848.0,13968072079.0,10.91,1421077329.0,24417833567.0,17.0
