,own,plant_name_x,fuel_type,capacity_mw,net_generation_gwh,usage,match_name_plants,plant_name_y,costs_name,2021_units,2021_amount,2021_cost_per_unit
100,IPP,Baraka Shikalbaha 105MW PS,F.Oil,105.0,160.1848,0.17,Baraka Shikalbaha 105MW PS,Baraka Shikalbaha 105MW PS,Baraka Shikalbaha Power Ltd. (105MW),159651421.0,2774600010.0,17.38
101,IPP,United Anwara 300MW PS,F.Oil,300.0,1195.9981,0.46,United Anwara 300MW PS,United Anwara 300MW PS,United - Anawara (300MW),1195998078.0,13588011751.0,11.36
102,IPP,Confidence Power  Ltd. 113MW Rangpur,F.Oil,113.0,494.4,0.5,Confidence Power  Ltd. 113MW Rangpur,Confidence Power  Ltd. 113MW Rangpur,Confidence Power Ltd. - Rangpur,494399990.0,5671576724.0,11.47
103,IPP,Jodiac Power,F.Oil,54.0,276.7625,0.59,Jodiac Power,Jodiac Power,Zodiac Power Ctg. Ltd.,276762524.0,3085394329.0,11.15
104,IPP,Karnaphuli Power Ltd.,F.Oil,110.0,87.2665,0.09,Karnaphuli Power Ltd.,Karnaphuli Power Ltd.,Karnaphuli Power Ltd.,85058900.0,2177111311.0,25.6
105,IPP,Feni Lanka Power 114 MW PP,F.Oil,114.0,193.2808,0.19,Feni Lanka Power 114 MW PP,Feni Lanka Power 114 MW PP,Lanka Power Limited - Feni,193243406.0,2993516085.0,15.49
106,IPP,Bogura 113 MW PP (Confidence) Unit-1,F.Oil,113.0,468.1931,0.47,Bogura 113 MW PP (Confidence) Unit-1,Bogura 113 MW PP (Confidence) Unit-1,Confidence Power Ltd. (Unit-1),468193056.0,5469183763.0,11.68
107,IPP,HF 113 MW Power Limited,F.Oil,113.0,551.0603,0.56,HF 113 MW Power Limited,HF 113 MW Power Limited,HF Power Company Limited,551060311.0,5951666116.0,10.8
108,IPP,Julda 100 MW Unit - 2 (Acorn ),F.Oil,100.0,687.7112,0.79,Julda 100 MW Unit - 2 (Acorn ),Julda 100 MW Unit - 2 (Acorn ),Acron Infrastructure Services Ltd. Unit-2,687711168.0,7359103192.0,10.7
109,IPP,Manikganj 162MW P0wer Generation,F.Oil,162.0,373.1234,0.26,Manikganj 162MW P0wer Generation,Manikganj 162MW P0wer Generation,Manikgonj Power Generations Limited (162MW),344555626.0,4667375064.0,13.55
