,plant_name,capacity_mw,start,own_IPP,own_Joint_venture,own_Public,own_RENTAL_SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND,district_code,units,usage,cost_per_unit,year,fuel_Coal
99,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),33.0,2009.0,False,False,False,True,True,False,False,False,False,False,comilla,258.2576,0.89,3.65,2021,False
100,Sirajgonj 210 MW CC (NWPGCL) Unit-3,220.0,,False,False,True,False,True,False,False,False,False,False,sirajgonj,1447.0055,0.781,3.38,2021,False
101,Ashuganj 450 MW CCPP (South),360.0,2017.0,False,False,True,False,True,False,False,False,False,False,brahmanbaria,1955.573,0.646,3.87,2021,False
102,Rural Power Company Ltd.(RPCL),210.0,2007.0,True,False,False,False,True,False,False,False,False,False,,1150.0912,0.63,3.34,2021,False
103,Kumargao 10 MW Desh Combridge (15 Yrs),10.0,2009.0,False,False,False,True,True,False,False,False,False,False,sylhet,61.4628,0.7,3.84,2021,False
104,Sylhet 1x20 MW /GT,20.0,1986.0,False,False,True,False,True,False,False,False,False,False,sylhet,111.0293,0.637,3.78,2021,False
105,Bhola 32 MW (Venture Energy Resources Ltd.),33.0,2009.0,False,False,False,True,True,False,False,False,False,False,bhola,199.538,0.69,3.99,2021,False
106,Sahzibazar 86 MW RPP (15 yrs),86.0,2009.0,False,False,False,True,True,False,False,False,False,False,habiganj,605.4847,0.8,3.37,2021,False
107,Shahjahanullah Power Gen Co. Ltd.,25.0,2013.0,False,False,False,True,True,False,False,False,False,False,sylhet,102.6552,0.47,3.45,2021,False
108,Ashuganj 225 MW CCPP,221.0,1987.0,False,False,True,False,True,False,False,False,False,False,brahmanbaria,1574.3307,0.828,3.26,2021,False
109,Sembcorp NWPGCL,414.0,2016.0,True,False,False,False,True,False,False,False,False,False,sirajgonj,2945.2366,0.81,3.07,2021,False
110,Fenchuganj C.C. (Unit #1),97.0,1994.0,False,False,True,False,True,False,False,False,False,False,sylhet,396.7305,0.662,3.61,2021,False
111,Fenchuganj C.C. (Unit #2),104.0,1994.0,False,False,True,False,True,False,False,False,False,False,sylhet,240.2846,0.34,3.61,2021,False
112,Barabkundu SIPP 22 MW (Regent Power),22.0,2009.0,False,False,False,True,True,False,False,False,False,False,chattogram,157.7652,0.82,2.94,2021,False
113,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,163.0,2017.0,True,False,False,False,True,False,False,False,False,False,sylhet,1065.5715,0.75,2.99,2021,False
114,"Shahjibazar 70 MW GT, Habiganj",70.0,2000.0,False,False,True,False,True,False,False,False,False,False,habiganj,361.4274,0.628,3.64,2021,False
115,Fenchugonj 50 MW Rental (Energy Prima),44.0,2009.0,False,False,False,True,True,False,False,False,False,False,sylhet,219.7947,0.86,3.27,2021,False
116,Nutan Biddyut 220MW Bhola,220.0,2021.0,True,False,False,False,True,False,False,False,False,False,bhola,266.9117,0.14,1.76,2021,False
117,Tangail SIPP (22 MW) (Doreen Power Ltd.),22.0,2008.0,False,False,False,True,True,False,False,False,False,False,tangail,141.1988,0.73,2.86,2021,False
118,Ashuganj 450 MW CCPP (North),360.0,2017.0,False,False,True,False,True,False,False,False,False,False,brahmanbaria,2088.9237,0.694,2.82,2021,False
119,Feni SIPP (22 MW) (Doreen Power Ltd.),22.0,2009.0,False,False,False,True,True,False,False,False,False,False,feni,160.0048,0.83,2.87,2021,False
120,Midland Power Co. Ashuganj 51 MW,51.0,2013.0,True,False,False,False,True,False,False,False,False,False,brahmanbaria,294.124,0.66,3.16,2021,False
121,Karnafuli Hydro,230.0,1962.0,False,False,True,False,False,False,False,True,False,False,rangamati,654.9908,0.326,3.0,2021,False
122,Haripur 412 MW CCPP,412.0,1987.0,False,False,True,False,True,False,False,False,False,False,narayanganj,1817.5804,0.527,3.01,2021,False
123,Ashuganj 50 MW PP,53.0,1986.0,False,False,True,False,True,False,False,False,False,False,brahmanbaria,184.7955,0.483,2.38,2021,False
124,Haripur Power Ltd.,360.0,2001.0,True,False,False,False,True,False,False,False,False,False,narayanganj,2315.379,0.73,1.68,2021,False
125,Haripur GTPP,32.0,,False,False,True,False,True,False,False,False,False,False,thakurgaon,-0.4225,0.0,,2021,False
126,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),51.0,2009.0,False,False,False,True,True,False,False,False,False,False,sylhet,353.0717,0.79,3.12,2021,False
127,Bogura 20 RPP (3 Yrs) Energy Prima,20.0,2011.0,False,False,False,True,True,False,False,False,False,False,bogra,30.3411,0.17,3.47,2021,False
128,Bheramara GT unit-3,20.0,1980.0,False,False,True,False,False,False,True,False,False,False,kushtia,-0.1532,0.0,,2021,False
129,Tongi 80 MW GTPP,105.0,2005.0,False,False,True,False,True,False,False,False,False,False,gazipur,-0.2004,0.0,,2021,False
130,CLC Power Co. Ltd. 108 MW Bosila Keranigonj,108.0,2017.0,True,False,False,False,False,True,False,False,False,False,dhaka,0.0,0.0,,2021,False
131,210 MW Shiddirganj TPP,210.0,2019.0,False,False,True,False,True,False,False,False,False,False,narayanganj,-1.287,0.0,,2021,False
132,Bibiyana - South  383 MW CCPP,383.0,2021.0,False,False,True,False,True,False,False,False,False,False,habiganj,2656.31741913468,75.0,1.85,2022,False
133,Shahjibazar 330 MW CCPP,330.0,2016.0,False,False,True,False,True,False,False,False,False,False,habiganj,1139.53649039124,39.3,4.84,2022,False
134,"Sangu, Dohazari-kaliaish 100 MW PPP",102.0,2011.0,False,False,True,False,False,True,False,False,False,False,chattogram,133.440047113936,15.2,19.84,2022,False
135,Khanjahan Ali Noapara  40 MW,40.0,2011.0,False,False,False,True,False,True,False,False,False,False,jessore,28.2293010465193,9.0,19.0,2022,False
136,Ghorashal 78 MW QRPP (3 Yrs Max Power),78.0,2011.0,False,False,False,True,True,False,False,False,False,False,narsingdi,0.0,0.0,,2022,False
137, Ghorasal TPP Unit-5,210.0,1989.0,False,False,True,False,True,False,False,False,False,False,narsingdi,569.045595535966,30.9,2.92,2022,False
138, Ghorasal Repowered CCPP Unit-4,210.0,2022.0,False,False,True,False,True,False,False,False,False,False,narsingdi,539.362202695953,29.3,3.39,2022,False
139, Ghorasal Repowered CCPP Unit-3,260.0,2021.0,False,False,True,False,True,False,False,False,False,False,narsingdi,2.66957859808376,0.3,681.0,2022,False
140, Ghorasal TPP Unit-6,0.0,2022.0,False,False,True,False,True,False,False,False,False,False,narsingdi,0.0,0.0,,2022,False
141,Ghorasal 365 MW CCPP Unit-7,365.0,2018.0,False,False,True,False,True,False,False,False,False,False,narsingdi,1601.58980115414,49.9,3.18,2022,False
142,Bera 70 MW Peaking RE,71.0,2011.0,False,False,True,False,False,True,False,False,False,False,pabna,58.4578272858456,9.9,22.0,2022,False
143,Baghabari 50 MW Peaking RE,52.0,1991.0,False,False,True,False,False,True,False,False,False,False,sirajgonj,106.693340650867,23.8,19.0,2022,False
144,"Baghabari 71 MW /GT
Baghabari 100 MW /GT",71.0,1991.0,False,False,True,False,True,False,False,False,False,False,rajshahi,50.2280714510552,8.6,16.52,2022,False
145,Kaptai Solar,7.0,2019.0,False,False,True,False,False,False,False,False,True,False,chattogram,6.47671991909256,15.2,15.56,2022,False
146,Shikalbaha 225 MW PS,225.0,2017.0,False,False,True,False,True,False,False,False,False,False,chattogram,387.243606865068,38.0,8.52,2022,False
147,Bhola 225 MW CCPP,194.0,2015.0,False,False,True,False,True,False,False,False,False,False,bhola,678.168992614581,39.8,5.38,2022,False
148,Rauzan 210 MW /ST (1st),210.0,1997.0,False,False,True,False,True,False,False,False,False,False,chattogram,511.53402190844,27.8,4.83,2022,False
149,Rauzan 210 MW /ST (2nd),210.0,1997.0,False,False,True,False,True,False,False,False,False,False,chattogram,244.383486348322,13.4,4.83,2022,False
150,Kutubdia 900KW Wind PP,0.9,2008.0,False,False,True,False,False,False,False,False,False,True,cox,,1.0,4.22,2022,False
151,Chandpur 150 MW CCPP,163.0,2012.0,False,False,True,False,True,False,False,False,False,False,chandpur,774.44658491261,54.0,2.83,2022,False
152,Sylhet 225 MW CCPP,231.0,2020.0,False,False,True,False,True,False,False,False,False,False,sylhet,,64.0,2.23,2022,False
153,Saidpur 20 MW /GT,20.0,1987.0,False,False,True,False,False,False,True,False,False,False,nilphamari,0.0,0.74,182.97,2022,False
154,Bibiana III 400 MW CCPP,400.0,2019.0,False,False,True,False,True,False,False,False,False,False,habiganj,2255.81142764906,64.1,1.33,2022,False
155,Rangpur 20 MW /GT,20.0,1988.0,False,False,True,False,False,False,True,False,False,False,rangpur,0.0,1.29,113.92,2022,False
156,Paramount Baghabari BanglaTrack,200.0,2019.0,True,False,False,False,False,False,True,False,False,False,sylhet,101.82230995378,6.0,55.39,2022,False
157,Gopalganj 100 MW Peaking PP,109.0,2011.0,False,False,True,False,False,True,False,False,False,False,gopalganj,17.0628588347845,2.2,51.49,2022,False
