,own_x,own_y,plant_name,plant_name_alt,plant,fuel_type_x,fuel_type_y,capacity_mw,capacity,potential_name,potential_cap
47,IPP,Private,Haripur Power Ltd.,Haripur Power Ltd.,Haripur 360 CCPP,GAS,GAS,360.0,360.0,Haripur 32 MW GT1,32.0
48,IPP,IPP,Bhairab Power 54.5 MW,Bhairab Power Limited (54.50MW),Bhairab 54 MW PP,HFO,HFO,54.0,54.0,Bhairab 54 MW PP,54.0
49,IPP,IPP,Baraka Patenga,Baraka Patenga Power Limited,Baraka-Patenga Chattogram 50 MW PP,HFO,HFO,50.0,50.0,Shorishabari Solar plant,3.0
50,IPP,IPP,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,Lakdhanvi Bangla Power Ltd.,"Shikalbaha, Chattogram 54 MW PP",HFO,HFO,52.0,54.0,,
51,IPP,IPP,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,Raj Lanka Power Limited,Bhairab 54 MW PP,HFO,HFO,52.0,54.0,"Pagla, Narayaganj quick rental PP",50.0
52,IPP,Private,Noapara100MW (Bangla Trac),Bangla Track Power Company Ltd. (Unit-2),Noapara 100 MW PP (Bangla Trac),HSD,HSD,100.0,100.0,Noapara 100 MW PP (Bangla Trac),100.0
53,Public,,Gazipur 52 MW PP,RPCL 52MW Gazipur,,HFO,,52.0,,Haripur 360 MW CCPP,412.0
54,RENTAL & SIPP,IPP,Julda Acorn Infra.service Ltd.100MW,ACRON INFRASTRUCTURE SERVICE LTD.,"Julda ,CTG 100 MW PP (Unit-3)",HFO,HFO,100.0,100.0,Ashuganj 51 MW PP,51.0
55,IPP,,Rural Power Company Ltd.(RPCL),RPC LTD. Mymensingh (210 MW),,GAS,,210.0,,"Rupganj , Narayanganj SIPP ( REB)",33.0
56,IPP,IPP,"Aggreko, Brahmangaon 100MW",Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),Thakurgao 100 MW Power Plant,HSD,HFO,100.0,115.0,"Thakurgaon, 3 Years Rental PP",50.0
57,IPP,IPP,"Aggreko, Aourahati 100MW",Aggreko Energy Solution Ltd. - Aorahati (100MW),Thakurgao 100 MW Power Plant,HSD,HFO,100.0,115.0,"Amnura, Chapainawabgonj Q.RPP
(Sinha Power )",50.0
58,Public,,Sirajgonj 210 MW CC (NWPGCL) Unit-3,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 3),,GAS,,220.0,,Sirajgonj 225 MW CCPP (3rd Unit) (ST Unit),79.0
59,IPP,IPP,Dhaka(Doreen) Northern Power Ltd.Manikgonj,Doreen Northern Power Limited,"Kanchan, Narayangonj 55 MW PP",HFO,HFO,55.0,55.0,Bheramara 3 Years Rental PP,110.0
60,RENTAL & SIPP,BPDB,Katakhali (Northern) Peaking,NORTHERN POWER,Katakhali 50 MW Peaking Power Plant,HFO,HFO,50.0,50.0,Katakhali 50 MW Peaking Power Plant,50.0
61,Public,Public,Haripur 412 MW CCPP,EGCB Ltd. (412) MW,Haripur 32 MW GT1,GAS,GAS,412.0,32.0,Haripur 32 MW GT1,32.0
62,IPP,IPP,Nutan Biddyut 220MW Bhola,Nutan Bidyut (Bangladesh) Ltd. (220MW),Meghnaghat 300-450 MW CCPP (2nd Unit Dual Fuel: SC GT Unit),GAS,HFO/GAS,220.0,203.0,Meghnaghat 300-450 MW CCPP (2nd Unit Dual Fuel: SC GT Unit),203.0
63,IPP,BPDB,Summit Narayangonj Power unit-2 Madangonj (55 MW),Summit Narayangonj Power Unit II Ltd.,Santahar 50 MW  Peaking Power Plant,HFO,HFO,55.0,50.0,Santahar 50 MW  Peaking Power Plant,50.0
64,IPP,IPP,Jodiac Power,Zodiac Power Ctg. Ltd.,"Potiya, Chattogram 108 MW Power Plant",HFO,HFO,54.0,108.0,"Titas, Doudkandi 50 MW Peaking PP",52.0
65,IPP,IPP,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,Doreen Southern Power Limited,Bhairab 54 MW PP,HFO,HFO,55.0,54.0,Keraniganj Power Plant,100.0
66,Public,Public,Ashuganj 225 MW CCPP,APSCL (225 MW),Ashuganj 150 MW ST4,GAS,GAS,221.0,150.0,Ashuganj Rental Power Plant,55.0
67,IPP,IPP,Meghnaghat Power Ltd.,Meghnaghat Power Ltd.,Mymensingh 200 MW PP,GAS,HFO,450.0,200.0,Mymensingh 200 MW PP,200.0
68,IPP,IPP,Feni Lanka Power 114 MW PP,Lanka Power Limited - Feni,Rangpur 113 MW Power Plant,HFO,HFO,114.0,113.0,Rangpur 113 MW Power Plant,113.0
69,IPP,IPP,Paramount Baghabari BanglaTrack,Paramount BTrac Energy Ltd. - Sirajgonj,"Bramhongaon, Keraniganj 100 MW PP",HSD,HSD,200.0,100.0,"Bramhongaon, Keraniganj 100 MW PP",100.0
70,Public,EGCB,Siddhirganj 335 MW CCPP,EGCB Ltd. (360) MW,Siddirganj 335 MW CCPP ST Unit,GAS,GAS,335.0,118.0,Siddirganj 335 MW CCPP ST Unit,118.0
71,Public,APSCL,Ashuganj 450 MW CCPP (North),APSCL (450 MW) North,Ashuganj 450 MW CCPP (South),GAS,GAS,360.0,360.0,Ashugonj 400 MW CCPP (East),400.0
72,IPP,IPP,Kamalaghat Banco Energy Generation,M/S Banco Energy Generation Ltd.,Kamalaghat 50 MW PP,HFO,HFO,54.0,54.0,Kamalaghat 50 MW PP,54.0
73,IPP,IPP,Summit Bibiyana - II Power Co Ltd. 341 MW,Summit Bibiyana II Power Company Ltd.,Chandpur 200 MW PP,GAS,HFO,341.0,200.0,Summit_Ashulia_1st Phase(REB),11.0
74,IPP,Private,Summit Meghnaghat Power Co.Ltd.,Summit Meghnaghat Power Ltd.,Summit_Ashulia_2nd Phase(REB),GAS,GAS,305.0,34.0,Summit_Ashulia_1st Phase(REB),11.0
75,IPP,Private,Daudkandi 200MW(Bangla Trac),Bangla Track Power Company Ltd.,Doudkandi 200 MW PP (Bangla Trac),HSD,HSD,200.0,200.0,Doudkandi 200 MW PP (Bangla Trac),200.0
76,Public,Public,Bheramara 360 MW CCPP (NWPGCL),North West Power Gen (NWPGCL)- Bheramara,Bheramara 20 MW PP GT3,GAS,HSD,410.0,20.0,Bheramara 20 MW PP GT3,20.0
77,IPP,IPP,ECPV Chattogram Limited 108 MW,ECPV Power Ltd.,Shikalbaha 110 MW PP,HFO,HFO,108.0,110.0,Shahjibazar CCPP,330.0
78,IPP,IPP,Digital  Power & Associates Gagnagar,Digital Power & Associates Ltd.,Gogonnagar 100 MW PP,HFO,HFO,102.0,102.0,,
79,IMPORT,,Import from Tripura (1st Phase),NVVN Ltd. - India 160 MW (Tripura),,IMPORT,,100.0,,Power import (2nd HVDC),500.0
