,plant_name,capacity_mw,start,plant_name_x,net_generation_gwh,usage,2021_cost_per_unit,2022_cost_per_unit,2022_units,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_IMPORT,fuel_SOLAR,fuel_WIND,2022_usage,cost_increase,age,diff,log_usage_squared,log_age_squared,log_capacity_mw_squared,log_net_generation_gwh_squared,log_2021_cost_per_unit_squared,log_2022_cost_per_unit_squared,log_2022_usage_squared
29,Siddhirganj 335 MW CCPP,5.814130531825066,2019.0,Siddhirganj 335 MW CCPP,6.9492770925718945,-0.9861768593383216,1.2584609896100056,1.4350845252893227,1419204804.0,False,False,True,False,True,False,False,False,False,False,False,-0.9619726266889833,0.6800000000000002,1.3862943611198906,0.6800000000000002,-1.972353718676643,2.772588722239781,11.628261063650132,13.898554185143789,2.5169219792200113,2.8701690505786455,-1.9239452533779666
32,Midland Power Co. Ashuganj 51 MW,3.9318256327243257,2013.0,Midland Power Co. Ashuganj 51 MW,5.684001447126745,-0.4155154439616658,1.1505720275988207,1.0116009116784799,370760585.0,True,False,False,False,True,False,False,False,False,False,False,-0.6268159884380115,-0.41000000000000014,2.302585092994046,-0.41000000000000014,-0.8310308879233316,4.605170185988092,7.8636512654486515,11.36800289425349,2.301144055197642,2.0232018233569597,-1.253631976876023
33,Ashugonj  55 MW 3Yrs Rental (Precision Energy),4.007333185232471,2010.0,Ashugonj  55 MW 3Yrs Rental (Precision Energy),5.341408943616276,-0.843970070294529,1.6544112780768316,1.5151272329628591,276586308.0,False,False,False,True,True,False,False,False,False,False,False,-0.8684935212546914,-0.6800000000000006,2.5649493574615367,-0.6800000000000006,-1.687940140589058,5.1298987149230735,8.014666370464942,10.682817887232552,3.3088225561536633,3.030254465925718,-1.7369870425093827
34,50 MW HDFC Solar Power Plant,3.912023005428146,2020.0,50 MW HDFC Solar Power Plant,4.172212599320415,-1.8971199848858813,2.6658383522929006,2.6878474937846906,92430240.0,True,False,False,False,False,False,False,False,False,True,False,-1.363018370398179,0.3199999999999985,1.0986122886681098,0.3199999999999985,-3.7942399697717626,2.1972245773362196,7.824046010856292,8.34442519864083,5.331676704585801,5.375694987569381,-2.726036740796358
35,Chandpur 150 MW CCPP,5.093750200806762,2012.0,Chandpur 150 MW CCPP,6.391107573072924,-0.818710403535291,1.2669476034873244,5.407171771460119,726768536.0,False,False,True,False,True,False,False,False,False,False,False,-0.9339153484699667,219.45,2.3978952727983707,219.45,-1.637420807070582,4.795790545596741,10.187500401613525,12.782215146145848,2.5338952069746488,10.814343542920238,-1.8678306969399334
36,Sahzibazar 86 MW RPP (15 yrs),4.454347296253507,2009.0,Sahzibazar 86 MW RPP (15 yrs),6.406029294300651,-0.2231435513142097,1.2149127443642704,1.264126727145683,619933776.0,False,False,False,True,True,False,False,False,False,False,False,-0.6272409254053433,0.16999999999999993,2.6390573296152584,0.16999999999999993,-0.4462871026284193,5.278114659230517,8.908694592507015,12.812058588601301,2.429825488728541,2.528253454291366,-1.2544818508106865
37,Tangail Polly Power 22 MW TPPGCl,3.091042453358316,2020.0,Tangail Polly Power 22 MW TPPGCl,4.317226746049471,-0.941608539858445,2.5201129055226197,2.761906873892921,149421480.0,True,False,False,False,False,True,False,False,False,False,False,-0.690894456637408,3.4000000000000004,1.0986122886681098,3.4000000000000004,-1.88321707971689,2.1972245773362196,6.182084906716632,8.634453492098942,5.040225811045239,5.523813747785842,-1.3817889132748162
38,United Payra PP Patuakhali Imp,5.0106352940962555,2021.0,United Payra PP Patuakhali Imp,3.5103387409145976,-3.506557897319982,3.4728976958273465,3.48216274048526,76919436.0,True,False,False,False,False,True,False,False,False,False,False,-1.6730617640642893,0.30000000000000426,0.6931471805599453,0.30000000000000426,-7.013115794639964,1.3862943611198906,10.021270588192511,7.020677481829195,6.945795391654693,6.96432548097052,-3.3461235281285786
39, Ashuganj TPP Unit-3,5.0106352940962555,1987.0, Ashuganj TPP Unit-3,5.406898639992711,-1.565421027017326,1.6544112780768316,1.979621206397625,347574918.0,False,False,True,False,True,False,False,False,False,False,False,-1.2675772454015237,2.01,3.58351893845611,2.01,-3.130842054034652,7.16703787691222,10.021270588192511,10.813797279985423,3.3088225561536633,3.95924241279525,-2.5351544908030474
42, Ashuganj TPP Unit-4,5.0106352940962555,1987.0, Ashuganj TPP Unit-4,5.633626784500453,-1.3432348716594436,1.6544112780768316,1.979621206397625,347574918.0,False,False,True,False,True,False,False,False,False,False,False,-1.2675772454015237,2.01,3.58351893845611,2.01,-2.686469743318887,7.16703787691222,10.021270588192511,11.267253569000905,3.3088225561536633,3.95924241279525,-2.5351544908030474
