,plant_name,plant_name_x,2022_usage,capacity_mw,start,net_generation_gwh,usage,2021_cost_per_unit,2022_cost_per_unit,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND
42,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance,62,149,2018,791.75,0.61,10.57,16.49,True,False,False,False,False,True,False,False,False,False
38,United Payra PP Patuakhali Imp,United Payra PP Patuakhali Imp,6,150,2021,33.4596,0.03,32.23,32.53,True,False,False,False,False,True,False,False,False,False
39, Ashuganj TPP Unit-3, Ashuganj TPP Unit-3,16,150,1987,222.9391,0.209,5.23,7.24,False,False,True,False,True,False,False,False,False,False
42, Ashuganj TPP Unit-4, Ashuganj TPP Unit-4,0,150,1987,279.6746,0.261,5.23,7.24,False,False,True,False,True,False,False,False,False,False
48, Ashuganj TPP Unit-5, Ashuganj TPP Unit-5,18.5,150,1988,215.2755,0.202,5.23,7.24,False,False,True,False,True,False,False,False,False,False
45,Manikganj 162MW P0wer Generation,Manikganj 162MW P0wer Generation,73,162,2020,373.1234,0.26,13.55,15.81,True,False,False,False,False,True,False,False,False,False
35,Chandpur 150 MW CCPP,Chandpur 150 MW CCPP,54,163,2012,596.5169,0.441,3.55,223,False,False,True,False,True,False,False,False,False,False
50,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,73,163,2017,1065.5715,0.75,2.99,3.07,True,False,False,False,True,False,False,False,False,False
104,Bhola 225 MW CCPP,Bhola 225 MW CCPP,39.8,194,2015,315.2895,0.201,6.49,538,False,False,True,False,True,False,False,False,False,False
60,Paramount Baghabari BanglaTrack,Paramount Baghabari BanglaTrack,6,200,2019,22.1198,0.01,180.67,55.39,True,False,False,False,False,False,True,False,False,False
68,Daudkandi 200MW(Bangla Trac),Daudkandi 200MW(Bangla Trac),9,200,2018,40.5404,0.02,105.72,42.33,True,False,False,False,False,False,True,False,False,False
78,Desh Energy Chandpur  200 MW,Desh Energy Chandpur  200 MW,43,200,2018,535.4999,0.31,13.57,17.2,True,False,False,False,False,True,False,False,False,False
23,210 MW Shiddirganj TPP,210 MW Shiddirganj TPP,0,210,2019,-1.287,,,,False,False,True,False,True,False,False,False,False,False
26,Siddhirganj 2x120 MW GTPP,Siddhirganj 2x120 MW GTPP,6.6,210,2019,563.9633,0.318,4.78,14.05,False,False,True,False,True,False,False,False,False,False
87,Rauzan 210 MW /ST (1st),Rauzan 210 MW /ST (1st),27.8,210,1997,403.4491,0.297,5.2,423,False,False,True,False,True,False,False,False,False,False
89,Rauzan 210 MW /ST (2nd),Rauzan 210 MW /ST (2nd),13.4,210,1997,0,,5.2,423,False,False,True,False,True,False,False,False,False,False
96, Ghorasal TPP Unit-5, Ghorasal TPP Unit-5,30.9,210,1989,963.6894,0.62,3.13,68129,False,False,True,False,True,False,False,False,False,False
9,Sirajgonj 210 MW CC (NWPGCL) Unit-1,Sirajgonj 210 MW CC (NWPGCL) Unit-1,12.9,210,2012,216.5913,0.122,11.01,9.56,False,False,True,False,True,False,False,False,False,False
15,Rural Power Company Ltd.(RPCL),Rural Power Company Ltd.(RPCL),61,210,2007,1150.0912,0.63,3.34,3.73,True,False,False,False,True,False,False,False,False,False
56, Ghorasal Repowered CCPP Unit-4, Ghorasal Repowered CCPP Unit-4,29.3,210,2022,280.5226,0.197,3.13,68129,False,False,True,False,True,False,False,False,False,False
18,Sirajgonj 210 MW CC (NWPGCL) Unit-3,Sirajgonj 210 MW CC (NWPGCL) Unit-3,66,220,,1447.0055,0.781,3.38,3.89,False,False,True,False,True,False,False,False,False,False
20,Nutan Biddyut 220MW Bhola,Nutan Biddyut 220MW Bhola,85,220,2021,266.9117,0.14,1.76,3.01,True,False,False,False,True,False,False,False,False,False
45,Ashuganj 225 MW CCPP,Ashuganj 225 MW CCPP,83.1,221,1987,1574.3307,0.828,3.26,3.32,False,False,True,False,True,False,False,False,False,False
60,Shikalbaha 225 MW PS,Shikalbaha 225 MW PS,19.7,225,2017,1014.6721,0.536,2.98,852,False,False,True,False,True,False,False,False,False,False
53,Karnafuli Hydro,Karnafuli Hydro,37,230,1962,654.9908,0.326,3,2.7,False,False,True,False,False,False,False,True,False,False
54,Sylhet 225 MW CCPP,Sylhet 225 MW CCPP,,231,2020,1075.5239,0.548,2.95,213,False,False,True,False,True,False,False,False,False,False
58,"Barapukuria Coal based S/T (unit 1,2)","Barapukuria Coal based S/T (unit 1,2)",20.13,250,2006,86.4905,0.078,11.24,8.13,False,False,True,False,False,False,False,False,False,False
95, Ghorasal Repowered CCPP Unit-3, Ghorasal Repowered CCPP Unit-3,0.3,260,2021,47.1487,0.023,3.13,68129,False,False,True,False,True,False,False,False,False,False
