,est,own,plant_name,capacity_mw,costs_p1,costs_p2
55,,PUBLIC,Modhumoti 105 MW NWPGCL,105,,North West Power Gen (NWPGCL)- Madhumati
133,,IPP,Noapara100MW (Bangla Trac),100,,Bangla Track Power Company Ltd. (Unit-2)
93,,IPP,Nutan Biddyut 220MW Bhola,220,Nutan Bidyut (Bangladesh) Ltd. (220MW),1
126,,IPP,Orion Power Sonargaon Ltd.,104,Orion Power Sonargaon Ltd.,1
136,,IPP,Paramount Baghabari BanglaTrack,200,,Paramount BTrac Energy Ltd. - Sirajgonj
80,,JOINT VENTURE,"Payra, Potuakhali 2*660 MW PP (U-1)",622,,Bangladsh -China Power Company (Pvt.) Ltd. 1320MW
81,,JOINT VENTURE,"Payra, Potuakhali 2*660 MW PP (U-2)",622,,Bangladsh -China Power Company (Pvt.) Ltd. 1320MW
171,,IMPORT,Power Import (Bheramara-Bharampur Phase-1),500,,Power Grid Corporation of India - 250MW
174,,IMPORT,Power Import (Bheramara-Bharampur Phase-2),300,,NVVN Ltd. - India 300 MW
167,,RENTAL/SIPP,"Power Pac Mutiara,Keranigonj,100MW",100,POWER PAC MUTIARA KERANIGONJ,1
104,,IPP,Powerpac Mutiara Jamalpur Power plant Ltd,95,Power Pac Motiara - Jamalpur,1
94,,IPP,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,52,,Raj Lanka Power Limited
78,,PUBLIC,Rangpur 20 MW /GT,20,,Rangpur Gas Turbine Power Station
17,,PUBLIC,Rauzan 210 MW /ST (1st),210,,"Chittagong Power Station, Rawzan"
18,,PUBLIC,Rauzan 210 MW /ST (2nd),210,,"Chittagong Power Station, Rawzan"
87,,IPP,Regent Energy & Power Ltd 108 MW,108,Regent Energy & Power Ltd.,1
23,,PUBLIC,RPCL Raozan 25 MW,25,RPCL 25MW Rawjan,1
84,,IPP,Rural Power Company Ltd.(RPCL),210,,RPC LTD. Mymensingh (210 MW)
152,,RENTAL/SIPP,Sahzibazar 86 MW RPP (15 yrs),86,,SHAHJIBAZAR POWER CO. LTD.
77,,PUBLIC,Saidpur 20 MW /GT,20,,Sayedpur Gas Turbine Power Station
142,,IPP,Sailo Solar Power Plant Shantahar,,,0
22,,PUBLIC,"Sangu, Dohazari-kaliaish 100 MW PPP",102,,Dohazari Peacking Power Plant
65,,PUBLIC,Santahar 50 MW PP,50,Shantahar 50MW Power Plant,1
175,,IMPORT,Sembcorp Energy India Ltd.,200,Sembcrop Energy India Ltd. 250MW,1
91,,IPP,Sembcorp NWPGCL,414,,Sembcorp NWPC Ltd. - Sirajgonj (282MW)
47,,PUBLIC,Shahazibazar 100 MW GT,100,Shahjibazar 100 P/S,1
159,,RENTAL/SIPP,Shahjahanullah Power Gen Co. Ltd.,,Shahjanullah Power Generation Co. Ltd.,1
41,,PUBLIC,Shahjibazar 330 MW CCPP,330,Shahjibazar 330 CCPP,1
40,,PUBLIC,"Shahjibazar 70 MW GT, Habiganj",70,,Shahjibazar Power Station
143,,IPP,Shailla 400 KW Solar,,,0
137,,IPP,Sharishabari 3 MW Engreen Solar Power Plant,3,,Engreen Solar
165,,RENTAL/SIPP,Shiddirganj  Dutchbangla 100 MW,100,,DUTCH BANGLA POWER & ASSOCIATES LTD.
19,,PUBLIC,Shikalbaha 150 MW Peaking PP,,,Shikalbaha Power Station (Gas Generation)
24,,PUBLIC,Shikalbaha 225 MW PS,225,Shikalbaha 225 MW Shamipur (Dual Fuel),1
9,,PUBLIC,Siddhirganj 2x120 MW GTPP,210,,EGCB Ltd. (210X2) MW
13,,PUBLIC,Siddhirganj 335 MW CCPP,335,,EGCB Ltd. (360) MW
99,,IPP,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,51,Sinha People Energy Ltd.,1
72,,PUBLIC,Sirajgonj 2 MW Wind Plant,,Siddirgonj Power Station,0
61,,PUBLIC,Sirajgonj 210 MW CC (NWPGCL) Unit-1,210,,North West Power Gen (NWPGCL)- Sirajgonj
68,,PUBLIC,Sirajgonj 210 MW CC (NWPGCL) Unit-2,220,,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 2)
70,,PUBLIC,Sirajgonj 210 MW CC (NWPGCL) Unit-3,220,,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 3)
73,,PUBLIC,Sirajgonj 7.6 MW Solar Power Plant,6,,0
26,,PUBLIC,Sonagazi 1 MW Wind PP,0,,0
100,,IPP,Summit   Barishal (110 MW),110,Summit Barishal Power Ltd.,1
163,,RENTAL/SIPP,Summit  Power Co. Ltd Madangonj (100 MW),102,SUMMIT NARAYANGONJ POWER LTD.,1
89,,IPP,Summit Bibiyana - II Power Co Ltd. 341 MW,341,Summit Bibiyana II Power Company Ltd.,1
92,,IPP,Summit Meghnaghat Power Co.Ltd.,305,Summit Meghnaghat Power Ltd.,1
101,,IPP,Summit Narayangonj Power unit-2 Madangonj (55 MW),55,Summit Narayangonj Power Unit II Ltd.,1
44,,PUBLIC,Sylhet 1x20 MW /GT,20,Kumergoan Gt Power Sylhet,1
45,,PUBLIC,Sylhet 225 MW CCPP,231,,Sylhet 225 MW Peaking Power Plant
139,,IPP,Sympa Solar Power 8 MW,8,Sympa Solar Power Limited,1
128,,IPP,Tangail Polly Power 22 MW TPPGCl,22,Tangail Palli Power Generation Ltd. (22MW),1
148,,RENTAL/SIPP,Tangail SIPP (22 MW) (Doreen Power Ltd.),22,Doreen Power Generation & System Ltd.- Tangail,1
38,,PUBLIC,Titas 50 MW Peaking PP,52,Titas 50 MW Peacking Power Plant,1
6,,PUBLIC,Tongi 80 MW GTPP,105,Tongi Power Station,1
117,,IPP,United Anwara 300MW PS,300,United - Anawara (300MW),1
114,,IPP,United Jamalpur PPL,115,United Jamalpur 200MW,1
108,,IPP,United Mymensing Power(UMPL) 200MW Generation,200,United Mymensingh Power Ltd. (200MW),1
130,,IPP,United Payra PP Patuakhali Imp,150,United Payra (150MW),1
88,,IPP,United Power Co. Ltd.200 MW Exp,195,United Mymensingh Power Ltd. (200MW),1
