,own,plant_name_x,fuel_type,capacity_mw,net_generation_gwh,usage,match_name_plants,plant_name_y,costs_name,2021_units,2021_amount,2021_cost_per_unit,2022_units,2022_amount,2022_cost_per_unit,costs_name_2022
55,IPP,Bhairab Power 54.5 MW,F.Oil,54,70.3824,0.15,,,Bhairab Power Limited (54.50MW),70305840,877217319,12.48,198278640,3361477855,16.95,Bhairab Power Limited (54.S0MW)
80,IPP,Baraka Patenga,F.Oil,50,198.9216,0.45,Baraka Patenga,Baraka Patenga,Baraka Patenga Power Limited,198921600,2363521802,11.88,232871760,3620246651,15.55,
82,IPP,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,F.Oil,52,158.5054,0.35,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,Lakdhanvi Bangla Power Ltd.,159349441,2229819012,13.99,217114112,3654069728,16.83,
78,IPP,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,F.Oil,52,146.3081,0.32,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,Raj Lanka Power Limited,146308138,1806686667,12.35,234706041,3656894613,15.58,
57,IPP,Noapara100MW (Bangla Trac),HSD,100,122.2197,0.14,,,Bangla Track Power Company Ltd. (Unit-2),122851008,3855255637,31.38,102068064,3703225481,36.28,Bangla Track Power Company Ltd.(Unit-2)
10,Public,Gazipur 52 MW PP,F.Oil,52,112.6812,0.255,Gazipur 52 MW PP,Gazipur 52 MW PP,RPCL 52MW Gazipur,112666731,1794318893,15.93,209417122,3793092964,18.11,
151,RENTAL & SIPP,Julda Acorn Infra.service Ltd.100MW,F.oil,100,189.9422,0.22,Julda Acorn Infra.service Ltd.100MW,Julda Acorn Infra.service Ltd.100MW,ACRON INFRASTRUCTURE SERVICE LTD.,189942210,3132864948,16.49,222839580,4110168523,18.44,
37,IPP,Rural Power Company Ltd.(RPCL),GAS,210,1150.0912,0.63,,,RPC LTD. Mymensingh (210 MW),1150056632,3840313302,3.34,1106935572,4130993792,3.73,RPC LTD.Mymensingh (210 MW)
59,IPP,"Aggreko, Brahmangaon 100MW",HSD,100,28.8673,0.03,,,Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),28478637,2164581074,76.01,120485001,4245841612,35.24,Aggreko EnergySolutionLtd.- Bhahmangoan (1OOMW)
58,IPP,"Aggreko, Aourahati 100MW",HSD,100,37.1663,0.04,,,Aggreko Energy Solution Ltd. - Aorahati (100MW),37076045,2377751737,64.13,131526563,4417000846,33.58,Aggreko Energy Solution Ltd.- Aorahati (1OOMW)
58,Public,Sirajgonj 210 MW CC (NWPGCL) Unit-3,Gas,220,1447.0055,0.781,Sirajgonj 210 MW CC (NWPGCL) Unit-3,Sirajgonj 210 MW CC (NWPGCL) Unit-3,North West Power Gen (NWPGCL)- Sirajgonj (Unit - 3),1447005461,4890841676,3.38,1220422550,4748113291,3.89,
86,IPP,Dhaka(Doreen) Northern Power Ltd.Manikgonj,F.Oil,55,231.8441,0.48,Dhaka(Doreen) Northern Power Ltd.Manikgonj,Dhaka(Doreen) Northern Power Ltd.Manikgonj,Doreen Northern Power Limited,231844112,2641124870,11.39,297602757,4903100529,16.48,
152,RENTAL & SIPP,Katakhali (Northern) Peaking,F.oil,50,21.6708,0.05,Katakhali (Northern) Peaking,Katakhali (Northern) Peaking,NORTHERN POWER,21344414,224115126,10.5,297602757,4903100529,16.48,
8,Public,Haripur 412 MW CCPP,Gas,412,1817.5804,0.527,,,EGCB Ltd. (412) MW,1803485796,5421654625,3.01,1981733402,4954975092,2.5,EGCB Ltd.(412)MW
40,IPP,Nutan Biddyut 220MW Bhola,GAS,220,266.9117,0.14,,,Nutan Bidyut (Bangladesh) Ltd. (220MW),160931128,284039503,1.76,1653494918,4973733765,3.01,Nutan Bidyut (Bangladesh)Ltd.(220MW)
85,IPP,Summit Narayangonj Power unit-2 Madangonj (55 MW),F.Oil,55,259.5017,0.54,Summit Narayangonj Power unit-2 Madangonj (55 MW),Summit Narayangonj Power unit-2 Madangonj (55 MW),Summit Narayangonj Power Unit II Ltd.,259501715,2969690929,11.44,288604038,4990935236,17.29,
51,IPP,Jodiac Power,F.Oil,54,276.7625,0.59,,,Zodiac Power Ctg. Ltd.,276762524,3085394329,11.15,320369811,5029347420,15.7,Zodiac Power Ctg.Ltd.
