,own_x,plant_name,plant_name_alt,fuel_type_x,capacity_mw,search_name
117,Public,Fenchuganj C.C. (Unit #2),Fenchuganj 2x 90 MW CCPP (1st & 2nd Unit),GAS,104.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
118,Public,Karnafuli Hydro,Karnafuli Hydro Power Station,HYDRO,230.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
123,Public,Sylhet 225 MW CCPP,Sylhet 225 MW Peaking Power Plant,GAS,231.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
124,Public,Baghabari 50 MW Peaking RE,Baghabari 50 Peaking Power Plant,HFO,52.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
129,Public, Ghorasal Repowered CCPP Unit-4,Ghorashal Power Station 630MW,GAS,210.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
131,Public, Ghorasal TPP Unit-6,Ghorashal Power Station 630MW,GAS,0.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
136,Public,"Barapukuria Coal based S/T (unit 1,2)",Barapukuria Power Station 1,COAL,250.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
139,Public,Shikalbaha 225 MW PS,Shikalbaha 225 MW Shamipur (Dual Fuel),GAS,225.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
141,Public,Katakhali 50 MW PP,Katakhali 50MW Power Plant,HFO,50.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
146,Public,Haripur GTPP,Sbu Haripur (BPDB Book Costs),GAS,32.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
149,IPP,APR Energy 300MW,APR Energy 300MW,HSD,300.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
150,RENTAL & SIPP,Bogura 20 RPP (3 Yrs) Energy Prima,"ENERGYPRIMA, BOGRA",GAS,20.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
151,RENTAL & SIPP,"IEL, Meghnaghat 100 MW",IELCONSOURTIUM & ASSOCIATES,HFO,100.0,Summit   Barishal (110 MW)Summit Barishal Power Ltd.HFO capacity 110.0 MW power plant
