plant,start,fuel_type,own,capacity,end
Kaptai Solar Power Plant,"28 May, 2019",Solar,BPDB,7.0,
Siddirganj 335 MW CCPP ST Unit,"ST: 9 September, 2019",Gas,EGCB,118.0,
Baghabari 200 MW PP,"16 February, 2019",HSD,IPP,200.0,
Jamalpur 115 MW Power Plant,"19 February, 2019",HFO,IPP,115.0,
Bogura 113 MW PP (unit-2),"30 March, 2019",HFO,IPP,113.0,
Sirajganj 400±10 MW CCPP,"ST: 09 April, 2018",IPP,GAS/HSD,132.0,
Shikalbaha 105 MW PP,"24 May, 2019",HFO,IPP,105.0,
Baghabari 200 MW PP,"16 February, 2019",HSD,IPP,200.0,
Jamalpur 115 MW Power Plant,"19 February, 2019",HFO,IPP,115.0,
Bogura 113 MW PP (unit-2),"30 March, 2019",HFO,IPP,113.0,
Sirajganj 400±10 MW CCPP,"ST: 09 April, 2018",IPP,GAS/HSD,132.0,
Shikalbaha 105 MW PP,"24 May, 2019",HFO,IPP,105.0,
"Anowara, Chattogram 300 MW PP","22 June, 2019",HFO,IPP,300.0,
"Majipara, Tetulia Solar plant","23 July, 2019",Solar,IPP,8.0,
Rangpur 113 MW Power Plant,"12 August, 2019",HFO,IPP,113.0,
Shikalbaha 110 MW PP,"20 August, 2019",HFO,IPP,110.0,
"Shikalbaha, Chattogram 54 MW PP","31 August, 2019",HFO,IPP,54.0,
Bogura 113 MW Power Plant (Unit-1),"17 November, 2019",HFO,IPP,113.0,
Feni 114 MW Power Plant,"24 November, 2019",HFO,IPP,114.0,
"Choumohoni, Noakhali 113 MW Power Plant","31 December, 2019",HFO,IPP,113.0,
Sylhet 150 MW PP Conversion,"14 March, 2020",Gas,BPDB,87.0,
"Payra, Potuakhali 1320 Coal Fired Power Plant (1st Unit)","15 May, 2020",Imported Coal,BCPCL (NWPGCL),622.0,
"Julda, Chattogram 100 MW PP (Unit-2)","20 March, 2020",HFO,IPP,100.0,
Meghnaghat 104 MW Power Plant,"30 June, 2020",HFO,IPP,104.0,
"Sutiakhali, mymensing 50 MW Solar PP","04 November, 2020",Solar,IPP,50.0,
Manikgonj 162 MW PP,"01 December, 2020",HFO,IPP,162.0,
Tangail 22 MW PP (Duel Fuel),"20 December, 2020",HFO,IPP,22.0,
Bibiana South 383 MW CCPP,2021-01-28 00:00:00,Gas,BPDB,383.0,
Shajibazar 100 MW PP,2021-02-01 00:00:00,Gas,BPDB,100.0,
Shirajgonj 6.55 MW Solar PP,"30 March, 2021",Solar,NWPGCL,6.0,
Ghorasal 416 MW CCPP (3rd Unit Repowering) GT,"01 April, 2021",Gas,BPDB,260.0,
"Potiya, Chattogram 116 MW PP","04 January, 2021",HFO,IPP,116.0,
Potuakhali 150 MW PP,"18 January, 2021",HFO,IPP,150.0,
Bhairab 54 MW PP,"08 March, 2021",HFO,IPP,54.0,
Manikgonj 35 MW Solar PP,"12 March, 2021",Solar,IPP,35.0,
Bhola 220 MW CCPP,"09 June, 2021",GAS/HSD,IPP,220.0,
Ashugonj 400 MW CCPP (East),"December, 2021",Gas,APSCL,400.0,
"Kanchan, Narayangonj 55 MW PP","December, 2021",HFO,IPP,55.0,
Hatia 15 MW Power Plant,"December, 2021",HFO,IPP,5.0,
"Mirsorai, Chittagong 150 MW PP","February, 2022",HFO/Gas,BR Power Gen,160.0,
Ghorasal 3rd Unit Repowering ST,"March, 2022",Gas,BPDB,156.0,
Ghorasal 4th Unit Repowering,"June, 2022",Gas,BPDB,409.0,
Khulna 330 MW CCPP (D/F),"June, 2022",Gas/HSD,BPDB,336.0,
Sreepur 150 MW  Power Plant,"December, 2022",HFO,B-R Power gen,163.0,
"BIFPCL, Rampal, Coal Fired Power Plant","U#1: March, 2022
U#2: June, 2022",Imported Coal,BIFPCL,1234.0,
Chandpur 115 MW Power Plant,"January, 2022",HFO,IPP,115.0,
Thakurgao 100 MW Power Plant,"March, 2022",HFO,IPP,115.0,
Chattogram 2 x 612 MW Coal Fired Power Project,"1st Unit: July, 22 2nd Unit: August, 22",Imported Coal,IPP,1224.0,
